,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1999 - 48H1,240.67,6.98,3.51,0.03,409.24,5.47,332.88,107.75,125.23,469.0,0.81,46.67,8.99,1096.8
1999 - 48H2,17.46,0.0,0.04,0.0,0.0,2.1,553.55,173.3,206.79,918.45,0.0,49.06,20.16,1923.41
1999 - 48H3,6.98,0.0,0.02,0.0,418.18,0.61,531.02,222.82,147.23,87.9,21.91,24.57,7.57,1043.63
1999 - 48H4,191.43,177.58,0.04,0.86,187.04,0.51,388.85,149.68,77.51,43.08,4.51,4.7,2.16,671.0
1999 - 48H5,24.15,3.47,0.0,0.0,100.91,4.05,46.82,20.17,14.82,8.21,1.0,1.64,0.18,96.89
1999 - 48H6,757.42,72.74,8.02,0.19,6.66,0.41,64.62,27.55,22.53,13.16,1.79,2.17,0.51,132.74
1999 - 48H7,0.0,0.0,0.0,0.0,0.41,0.44,44.43,18.43,13.83,8.04,0.78,0.82,0.24,87.01
1999 - 49G8,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.06,0.34,0.0,0.06,0.0,0.65
1999 - 49G9,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08,0.08,0.52,0.0,0.08,0.0,1.01
1999 - 49H5,0.0,0.0,0.0,0.0,13.57,0.02,20.16,8.5,6.75,3.86,0.44,0.56,0.15,40.44
1999 - 49H6,30.96,0.0,0.11,0.0,0.0,0.0,38.08,16.05,11.28,6.54,0.71,0.68,0.27,73.61
1999 - 50G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.12,0.25,0.0,1.13
1999 - 50G9,0.0,0.0,0.0,0.0,0.0,0.9,0.7,0.6,8.95,0.0,0.0,0.1,0.0,11.25
1999 - 50H0,0.0,0.0,0.0,0.0,0.43,4.01,3.8,3.04,37.02,0.0,0.1,0.43,0.1,48.5
1999 - 51G8,0.0,0.0,0.0,0.0,0.0,0.09,0.39,0.09,5.36,0.09,0.29,1.39,0.0,7.7
1999 - 51G9,0.0,0.0,0.0,0.0,0.0,0.49,0.69,0.39,9.74,0.0,0.09,0.39,0.0,11.79
1999 - 51H0,0.0,0.0,0.0,0.0,0.0,2.49,4.49,1.69,60.44,0.0,0.09,1.39,0.09,70.68
1999 - 52G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.08,0.0,0.25
1999 - 52G9,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.09,1.76,0.0,0.0,0.09,0.0,2.12
1999 - 52H0,0.0,0.0,0.0,0.0,0.0,0.09,0.19,0.0,2.62,0.0,0.0,0.19,0.0,3.09
1999 - 53G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.37
1999 - 53H0,0.0,0.0,0.0,0.0,0.0,0.19,0.89,0.09,12.14,0.09,0.49,2.09,0.0,15.98
1999 - 54G8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.42,0.0,0.1,0.32,0.0,1.94
1999 - 54G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.09,0.19,0.0,0.77
1999 - 54H0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,2.75,0.0,0.0,0.17,0.0,3.09
1999 - 55G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.45
1999 - 55H0,0.0,0.0,0.0,0.0,0.0,0.44,1.1,0.33,14.99,0.0,0.11,0.77,0.0,17.74
1999 - 56H1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.26,0.0,0.0,0.02,0.32
1999 - 57H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999 - 57H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999 - 58H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999 - 58H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999 - 58H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999 - 59H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999 - 59H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000 - 37G0,352.55,0.0,1.48,0.0,4.21,0.35,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2000 - 37G1,1378.69,0.0,6.82,0.0,78.78,73.02,75.71,40.44,41.17,6.57,0.0,0.0,0.0,236.91
2000 - 37G2,12.0,0.0,0.03,0.0,0.71,1.89,0.93,1.84,0.9,0.33,0.04,0.0,0.0,5.93
2000 - 37G4,0.0,0.0,0.0,0.0,1.45,8.11,16.0,31.6,19.24,10.4,6.56,0.6,0.0,92.51
2000 - 37G5,0.0,0.0,0.0,0.0,0.05,1.16,0.19,0.53,0.02,0.02,0.0,0.0,0.0,1.92
2000 - 37G8,4.0,0.0,0.03,0.0,12.43,14.8,1.49,10.3,2.07,0.29,0.54,0.03,0.01,29.53
2000 - 37G9,20.0,0.0,0.16,0.0,17.46,20.79,2.09,14.46,2.91,0.41,0.77,0.05,0.01,41.49
2000 - 38G0,1018.27,67.59,3.62,0.1,2.94,0.78,0.67,0.34,0.8,0.05,0.0,0.0,0.0,2.64
2000 - 38G1,275.34,0.0,1.71,0.0,0.32,0.31,0.22,0.08,0.08,0.0,0.0,0.0,0.0,0.69
2000 - 38G2,7.93,0.0,0.01,0.0,12.21,16.91,4.44,8.32,4.58,2.17,0.08,0.0,0.0,36.5
2000 - 38G3,1378.74,0.0,5.89,0.0,109.23,157.31,28.36,53.75,23.86,10.28,0.1,0.0,0.0,273.66
2000 - 38G4,253.87,0.0,0.81,0.0,19.63,28.0,18.82,35.63,20.67,11.05,5.61,0.52,0.0,120.3
2000 - 38G5,2456.7,1104.93,40.76,10.65,0.14,30.26,14.1,43.49,13.34,11.0,3.67,0.39,0.56,116.81
2000 - 38G6,320.69,182.0,3.85,1.47,0.75,10.3,2.89,8.18,1.22,1.24,0.39,0.0,0.0,24.22
2000 - 38G7,0.0,0.0,0.0,0.0,9.68,59.05,12.61,34.86,4.97,4.22,1.53,0.04,0.0,117.28
2000 - 38G8,781.09,241.48,20.67,2.06,4.52,427.54,36.25,266.97,49.65,5.07,14.6,0.97,0.38,801.43
2000 - 38G9,1719.21,685.07,55.94,12.95,283.96,1154.2,205.11,828.34,100.05,172.31,49.16,0.27,1.96,2511.4
2000 - 39F9,74.9,0.0,0.17,0.0,96.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000 - 39G0,434.95,0.0,2.25,0.0,0.03,0.13,0.08,0.03,0.03,0.0,0.0,0.0,0.0,0.27
2000 - 39G1,411.75,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000 - 39G2,117.56,0.0,0.36,0.0,,,,,,,,,,
2000 - 39G3,1067.06,0.0,4.44,0.0,0.05,188.87,54.81,90.19,41.37,23.71,0.37,0.0,0.0,399.32
2000 - 39G4,1442.82,128.79,13.89,1.02,7.83,213.86,32.64,48.51,25.9,17.6,0.06,0.0,0.0,338.57
2000 - 39G5,3098.9,2541.97,85.32,39.41,0.0,51.45,15.66,91.54,3.95,24.53,30.45,11.11,3.94,232.63
2000 - 39G6,2107.47,1188.79,38.66,16.39,1.02,90.06,22.25,71.24,8.93,8.76,5.67,2.68,0.22,209.81
2000 - 39G7,878.05,0.0,11.91,0.0,51.25,312.49,66.75,184.5,26.3,22.35,8.11,0.22,0.0,620.72
2000 - 39G8,2913.99,490.0,49.57,1.52,48.45,3078.37,165.19,1311.57,72.69,157.49,12.11,0.0,0.0,4797.42
2000 - 39G9,2686.65,2035.73,83.01,32.11,168.43,4121.88,274.95,1375.96,180.72,252.56,77.28,2.01,2.01,6287.37
2000 - 39H0,0.0,0.0,0.0,0.0,776.89,6786.34,179.98,684.1,1.07,112.55,36.14,0.0,0.97,7801.15
2000 - 40F9,58.24,0.0,0.13,0.0,0.01,0.05,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.1
2000 - 40G0,1247.98,65.75,5.55,0.34,0.13,0.58,0.38,0.13,0.12,0.01,0.0,0.0,0.0,1.22
2000 - 40G1,440.12,0.0,1.54,0.0,0.06,0.28,0.18,0.06,0.06,0.01,0.0,0.0,0.0,0.59
2000 - 40G2,274.67,0.0,1.45,0.0,0.0,0.77,1.39,0.55,0.32,0.04,0.0,0.0,0.0,3.07
2000 - 40G4,408.68,206.36,5.83,1.39,0.0,17.72,0.0,15.64,2.07,3.02,4.08,1.36,0.97,44.86
2000 - 40G5,1636.55,536.94,22.25,4.53,0.0,163.91,0.0,243.75,30.43,51.5,84.86,44.75,29.47,648.67
2000 - 40G6,1451.72,381.25,12.43,2.07,0.0,51.72,0.0,130.32,18.15,37.67,25.38,5.56,7.66,276.46
2000 - 40G7,0.0,0.0,0.0,0.0,0.0,124.29,0.0,164.97,11.87,79.7,54.79,15.35,18.38,469.35
2000 - 40G8,2619.13,2145.93,69.16,29.71,8.47,754.08,78.37,734.82,130.72,218.7,93.78,19.46,9.27,2039.2
2000 - 40G9,3460.09,2048.36,69.69,18.56,14.89,3109.25,253.32,1815.53,70.85,225.63,159.11,41.85,66.6,5742.14
2000 - 40H0,182.59,0.0,0.48,0.0,538.46,4151.57,275.86,1293.7,89.38,105.62,25.76,0.0,10.81,5952.7
2000 - 41G0,288.14,0.0,1.0,0.0,,,,,,,,,,
2000 - 41G1,610.93,0.0,2.59,0.0,0.1,1.09,1.11,0.74,0.43,0.0,0.0,0.0,0.0,3.37
2000 - 41G2,1020.13,0.0,2.97,0.0,,,,,,,,,,
2000 - 41G6,0.0,0.0,0.0,0.0,0.0,311.85,0.0,413.15,50.08,192.35,85.36,0.0,39.83,1092.62
2000 - 41G7,0.0,0.0,0.0,0.0,0.0,64.32,2.21,226.76,4.87,48.58,85.79,0.0,25.38,457.91
2000 - 41G8,1784.3,1581.53,62.84,25.39,0.0,126.77,4.62,533.11,81.44,213.05,224.67,45.48,125.82,1354.96
2000 - 41G9,3303.97,2598.01,124.48,73.95,153.16,845.36,9.82,526.95,20.7,169.91,129.18,56.0,72.37,1830.29
2000 - 41H0,591.39,243.74,6.86,1.95,0.0,2486.7,2462.9,348.17,219.5,15.93,15.84,11.15,0.0,5560.19
2000 - 42G1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000 - 42G2,155.48,0.0,0.21,0.0,0.39,1.42,0.42,0.33,0.02,0.0,0.0,0.0,0.0,2.19
2000 - 42G7,1299.08,583.59,22.98,8.03,0.0,73.73,12.44,115.39,34.92,78.65,50.66,12.38,11.86,390.03
2000 - 42G8,713.1,287.1,24.96,4.22,1.27,56.45,7.05,355.64,52.37,100.47,131.46,25.41,37.73,766.58
2000 - 42G9,3397.22,3397.22,266.5,181.72,0.0,350.07,20.35,675.76,45.66,155.14,170.36,29.69,45.74,1492.77
2000 - 42H0,1664.95,1249.07,81.26,58.95,89.47,2167.56,17.19,1824.84,71.8,449.8,400.13,78.25,106.87,5116.44
2000 - 43G7,2011.51,1568.4,46.37,22.52,1.29,128.48,15.72,231.17,43.75,133.95,134.01,17.46,14.14,718.68
2000 - 43G9,3099.81,2664.73,243.57,170.94,0.0,350.54,19.17,789.52,58.92,266.7,152.57,37.33,97.13,1771.88
2000 - 43H0,2193.58,1973.44,202.8,168.74,7.39,875.32,37.41,1536.21,82.9,428.78,259.06,89.08,70.53,3379.29
2000 - 43H1,0.0,0.0,0.0,0.0,412.7,1388.97,28.46,640.94,76.24,165.72,54.89,49.81,28.46,2433.49
2000 - 44G7,3243.45,3173.49,148.38,107.7,11.14,369.81,0.0,946.8,0.0,372.04,761.9,22.28,22.28,2495.11
2000 - 44G8,1330.17,1037.47,38.81,13.07,3.53,6.0,16.95,102.07,54.39,74.16,91.46,3.53,16.95,365.51
2000 - 44G9,1966.61,1072.93,89.2,40.62,0.0,388.22,0.0,2317.32,125.75,601.24,548.59,113.73,268.2,4363.05
2000 - 44H0,2691.6,2072.15,139.34,96.24,19.51,2046.65,57.05,2582.56,105.46,662.88,576.77,64.45,156.22,6252.04
2000 - 44H1,0.0,0.0,0.0,0.0,524.21,2942.69,54.85,1392.12,79.39,200.62,165.79,24.54,31.55,4891.55
2000 - 45G7,2350.21,2010.04,107.41,72.76,0.0,659.84,0.0,1066.15,175.0,375.16,810.65,86.51,35.18,3208.49
2000 - 45G8,3129.82,2163.22,158.25,79.55,39.13,518.1,0.0,1228.76,647.75,893.14,510.33,39.43,49.14,3886.65
2000 - 45G9,2282.62,1680.91,112.18,71.27,0.0,507.87,23.16,1637.87,105.62,477.89,588.01,20.97,94.86,3456.25
2000 - 45H0,2850.28,2451.43,103.9,68.01,11.61,4583.98,59.03,5931.3,260.46,1172.81,1461.88,196.06,316.69,13982.21
2000 - 45H1,115.29,0.0,0.36,0.0,372.38,3847.54,258.96,5374.25,191.3,1036.97,1042.07,0.0,79.25,11830.34
2000 - 46G7,43.14,3.6,0.42,0.0,3.36,154.07,3.24,326.49,98.25,137.7,237.97,18.03,9.47,985.22
2000 - 46G8,1779.68,1743.77,166.75,147.56,0.0,376.22,43.81,974.05,224.19,244.8,943.13,59.27,33.5,2898.97
2000 - 46G9,2956.07,2834.03,129.7,112.78,18.92,402.29,0.0,1106.6,188.49,561.18,370.91,47.4,65.41,2742.28
2000 - 46H0,3182.04,2948.99,167.87,137.61,14.86,236.68,0.0,539.87,133.34,280.93,148.16,24.14,43.81,1406.93
2000 - 47G9,721.65,721.65,0.13,6.9,26.78,426.52,0.0,972.9,240.29,506.25,266.99,43.51,78.94,2535.4
2000 - 47H0,1663.14,1663.14,25.24,45.03,26.42,152.13,0.0,382.46,154.25,185.95,44.38,22.45,67.35,1008.97
2000 - 47H1,2339.02,2054.27,79.73,56.71,11.03,63.5,0.0,159.62,64.38,77.61,18.52,9.37,28.11,421.11
2000 - 47H3,322.38,3.51,2.07,0.0,907.64,4839.31,918.08,950.73,659.7,789.13,31.62,55.34,19.76,8263.67
2000 - 47H4,0.0,0.0,0.0,0.0,1.98,39.71,25.28,30.11,20.71,24.36,2.95,1.99,1.13,146.24
2000 - 47H7,0.0,0.0,0.0,0.0,0.29,24.36,9.51,10.11,6.46,6.8,0.23,0.19,0.07,57.73
2000 - 48G9,0.0,0.0,0.0,0.0,49.13,559.38,19.65,193.89,44.8,92.97,421.25,4.56,32.28,1368.78
2000 - 48H0,3.48,3.48,0.0,0.0,63.04,487.5,31.38,278.21,73.62,126.8,622.9,6.91,51.46,1678.78
2000 - 48H1,87.25,83.75,0.47,0.87,49.14,215.21,28.87,237.95,68.94,104.23,544.57,6.14,47.3,1253.21
2000 - 48H2,27.93,0.0,0.04,0.0,179.64,1458.96,26.41,177.41,38.51,165.67,346.97,0.0,26.41,2240.34
2000 - 48H3,10.46,0.0,0.03,0.0,529.74,2824.44,535.83,554.89,385.03,460.57,18.45,32.3,11.53,4823.04
2000 - 48H4,368.22,0.0,3.85,0.0,117.69,940.13,432.05,461.65,313.08,318.01,29.85,21.33,12.47,2528.57
2000 - 48H5,1469.29,0.0,27.4,0.0,0.0,259.19,116.95,126.39,91.49,88.06,14.98,10.72,5.25,713.03
2000 - 48H6,1874.89,3.46,33.65,0.0,7.66,268.71,116.94,118.05,74.31,82.81,2.52,3.19,1.01,667.54
2000 - 48H7,1023.64,0.0,8.58,0.0,2.85,232.75,90.92,96.64,61.76,65.03,2.2,1.83,0.69,551.82
2000 - 49G9,0.0,0.0,0.0,0.0,0.0,740.33,32.48,298.55,92.59,160.92,704.87,3.44,44.29,2077.47
2000 - 49H4,0.0,0.0,0.0,0.0,19.01,111.37,39.25,36.67,24.37,19.12,0.67,0.67,0.44,232.56
2000 - 49H5,3.44,0.0,0.0,0.0,0.0,375.31,118.89,113.5,85.33,76.22,4.14,7.04,2.48,782.91
2000 - 49H6,433.1,0.0,4.51,0.0,4.38,93.98,45.56,43.81,27.16,31.98,0.87,1.53,0.43,245.32
2000 - 50G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.35,0.35,8.27,0.35,2.8,12.27
2000 - 50G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.85,0.85,20.1,0.85,6.83,29.86
2000 - 50G9,0.0,0.0,0.0,0.0,0.0,2.18,0.0,23.5,20.83,19.46,147.88,0.81,4.65,219.31
2000 - 50H0,0.0,0.0,0.0,0.0,0.0,12.15,0.0,25.38,22.59,21.93,165.12,1.2,4.31,252.68
2000 - 51G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.67,0.67,8.85,0.19,1.66,12.88
2000 - 51G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,1.56,1.56,30.22,0.84,8.27,45.02
2000 - 51G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.61,0.61,6.6,0.24,0.24,9.2
2000 - 51H0,0.0,0.0,0.0,0.0,0.0,79.76,0.0,86.75,77.55,78.5,585.19,5.34,11.95,925.04
2000 - 51H1,0.0,0.0,0.0,0.0,0.0,34.68,0.0,37.73,33.72,34.13,254.54,2.32,5.19,402.31
2000 - 52G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,1.19,1.19,12.94,0.17,0.93,17.91
2000 - 52G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,2.27,2.27,23.79,0.9,5.93,36.47
2000 - 52G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.55,7.23,7.04,110.39,2.28,7.04,146.53
2000 - 52H0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,60.36,45.21,43.93,374.57,3.74,7.32,537.46
2000 - 52H1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,43.79,31.2,30.65,330.55,5.42,15.58,458.18
2000 - 53G7,0.0,0.0,0.0,0.0,0.0,1.1,0.0,6.01,4.87,4.75,38.21,0.43,3.48,58.85
2000 - 53G8,0.0,0.0,0.0,0.0,0.0,0.77,0.0,2.27,1.17,1.07,17.66,0.38,1.17,24.49
2000 - 53H0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68,39.25,38.52,347.88,4.21,7.62,489.16
2000 - 53H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,4.95,4.86,43.9,0.53,0.96,61.72
2000 - 54G7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.26,0.0,0.01,0.33
2000 - 54G8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.77,0.77,9.8,0.18,0.62,13.11
2000 - 54G9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,2.42,1.95,35.66,0.3,1.48,47.02
2000 - 54H0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,2.14,2.14,21.26,0.21,0.21,28.91
2000 - 55G8,0.0,0.0,0.0,0.0,0.0,3.03,0.0,3.9,3.2,3.08,24.49,0.12,0.9,38.72
2000 - 55G9,0.0,0.0,0.0,0.0,0.0,16.1,0.0,28.58,24.21,22.58,186.16,1.09,5.79,284.51
2000 - 55H0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,12.05,9.47,9.13,82.73,0.66,1.65,119.05
2001 - 37G0,8.07,0.0,0.03,0.0,313.03,6.34,1.92,1.35,0.19,0.29,0.1,0.0,0.0,10.19
2001 - 37G1,1519.33,84.64,8.23,0.11,161.25,32.21,55.77,43.4,20.16,7.56,3.46,0.0,0.0,162.56
2001 - 37G2,200.52,40.06,1.09,0.09,63.24,1.81,0.21,0.19,0.16,0.02,0.02,0.0,0.0,2.41
2001 - 37G5,0.0,0.0,0.0,0.0,27.93,15.97,63.02,59.07,75.63,28.84,19.74,6.83,3.98,273.08
2001 - 37G8,20.0,0.0,0.13,0.0,30.99,93.44,72.79,48.26,45.16,19.85,7.26,1.03,1.23,289.02
2001 - 37G9,56.0,0.0,0.43,0.0,79.82,313.39,301.3,200.08,173.23,77.43,27.03,2.84,3.89,1099.19
2001 - 38G0,539.76,15.8,1.88,0.02,135.33,13.58,11.32,7.88,2.81,1.17,0.43,0.0,0.0,37.19
2001 - 38G1,107.8,0.0,0.48,0.0,43.1,2.45,0.8,0.35,0.08,0.03,0.02,0.0,0.0,3.73
2001 - 38G2,243.22,3.99,0.73,0.0,289.44,15.49,54.54,44.03,26.48,7.0,3.71,0.54,0.0,151.79
2001 - 38G3,1064.98,0.0,7.77,0.0,821.93,123.32,352.88,254.38,135.01,34.5,18.42,2.46,0.0,920.97
2001 - 38G4,202.06,0.0,0.47,0.0,794.85,82.93,244.13,175.65,100.76,20.82,14.58,0.0,0.0,638.87
2001 - 38G5,1526.17,213.63,16.33,0.72,48.27,32.4,131.88,124.69,159.87,59.73,41.38,14.35,8.41,572.71
2001 - 38G6,35.57,0.0,0.16,0.0,5.86,14.72,38.89,35.65,43.6,16.77,10.08,3.41,2.02,165.14
2001 - 38G7,0.0,0.0,0.0,0.0,0.16,9.09,26.52,25.25,23.95,6.23,4.02,2.53,1.24,98.83
2001 - 38G8,765.82,75.31,18.14,0.44,125.34,571.76,432.6,288.58,248.5,111.74,40.9,4.75,4.82,1703.65
2001 - 38G9,2112.38,1539.07,56.9,21.49,115.29,597.24,672.72,174.6,526.3,68.77,65.04,34.5,12.5,2151.67
2001 - 39F9,133.94,23.64,0.45,0.02,473.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 39G0,172.42,31.57,0.8,0.05,2.98,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12
2001 - 39G1,148.91,0.0,0.6,0.0,28.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 39G2,0.0,0.0,0.0,0.0,0.69,2.25,6.63,5.21,3.48,0.7,0.33,0.0,0.0,18.6
2001 - 39G3,1789.91,0.0,13.02,0.0,69.84,37.77,134.54,80.15,90.64,21.3,8.8,12.76,4.44,390.4
2001 - 39G4,1249.74,0.0,12.13,0.0,,,,,,,,,,
2001 - 39G5,3079.21,2078.15,84.07,34.59,15.63,17.33,268.98,24.82,300.97,2.45,109.12,195.03,31.74,950.44
2001 - 39G6,1831.04,646.07,24.97,6.39,15.8,83.3,203.26,187.87,192.75,58.8,38.25,18.75,10.21,793.19
2001 - 39G7,1425.24,0.0,20.73,0.0,1.04,60.63,176.8,168.34,159.68,41.56,26.82,16.84,8.29,658.96
2001 - 39G8,2586.98,317.75,52.99,0.66,172.13,112.63,193.59,105.93,208.76,66.39,88.83,35.04,13.21,824.38
2001 - 39G9,3338.64,2577.62,84.93,32.75,18.8,238.71,774.45,191.64,1249.66,134.26,142.78,145.4,0.0,2876.9
2001 - 39H0,125.06,74.21,1.7,0.39,4469.62,343.25,195.22,2.26,162.78,17.62,28.07,2.26,0.0,751.46
2001 - 40F9,97.28,0.0,0.24,0.0,62.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 40G0,983.49,69.5,5.4,0.26,125.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 40G1,107.99,3.86,0.32,0.0,59.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 40G2,50.13,0.0,0.25,0.0,122.43,5.17,10.75,13.75,14.23,1.68,2.67,1.68,1.68,51.61
2001 - 40G4,595.04,23.34,7.27,0.06,38.06,15.62,107.28,40.55,260.7,38.47,101.97,48.28,44.22,657.09
2001 - 40G5,1958.13,315.17,34.38,2.3,8.28,1.77,253.23,6.14,310.92,52.92,16.83,33.36,34.67,709.84
2001 - 40G6,1394.12,784.84,17.06,4.66,4.45,3.05,125.5,3.84,144.61,31.6,15.24,67.77,15.46,407.07
2001 - 40G7,478.26,19.38,2.76,0.02,10.23,0.0,259.59,0.0,338.57,42.06,115.93,120.02,103.6,979.77
2001 - 40G8,3081.7,1914.82,77.18,45.5,0.0,123.84,352.84,225.25,544.88,100.08,234.21,67.54,14.27,1662.91
2001 - 40G9,3275.11,1256.87,70.58,14.61,101.87,533.39,1362.72,223.91,1594.56,249.67,478.01,90.12,56.83,4589.21
2001 - 40H0,837.55,435.19,12.62,3.01,502.53,648.95,1426.73,499.92,968.35,49.01,220.76,84.95,15.81,3914.48
2001 - 41G0,744.06,3.84,4.31,0.01,,,,,,,,,,
2001 - 41G1,1774.97,0.0,11.18,0.0,0.42,36.91,3.32,0.9,0.28,0.0,0.0,0.0,0.0,41.41
2001 - 41G2,1312.8,0.0,8.33,0.0,,,,,,,,,,
2001 - 41G6,72.36,26.61,0.17,0.05,59.12,3.94,344.49,82.77,279.06,39.41,70.94,64.64,64.64,949.89
2001 - 41G7,0.0,0.0,0.0,0.0,0.0,0.59,131.59,0.0,155.64,31.07,38.84,67.19,42.81,467.73
2001 - 41G8,1833.97,1833.97,4.54,51.15,0.0,41.36,623.33,17.81,1131.71,73.01,391.39,464.39,199.89,2942.89
2001 - 41G9,3142.83,2517.66,116.51,100.09,0.0,78.15,676.99,8.77,578.54,35.15,119.61,99.89,80.81,1677.91
2001 - 41H0,240.36,171.26,0.26,1.83,59.69,260.2,1568.85,22.85,1119.97,73.91,395.77,322.9,133.85,3898.3
2001 - 42G1,0.0,0.0,0.0,0.0,0.0,50.73,7.76,1.14,0.45,0.0,0.0,0.0,0.0,60.08
2001 - 42G2,311.03,0.0,1.4,0.0,1.01,23.47,0.8,0.0,0.0,0.0,0.0,0.0,0.0,24.27
2001 - 42G6,155.47,75.89,0.72,0.22,2.39,13.43,122.54,1.19,45.32,33.09,5.03,80.81,19.9,321.31
2001 - 42G7,1873.0,1684.99,3.54,18.87,24.69,57.62,474.12,138.28,1038.79,39.51,242.0,258.46,23.04,2271.82
2001 - 42G8,754.8,630.32,30.01,20.92,46.7,492.91,769.27,85.34,1821.83,262.42,500.36,254.88,126.98,4313.99
2001 - 42G9,3397.22,3397.22,207.77,246.31,0.0,84.87,398.38,53.37,564.88,35.4,188.19,146.88,42.34,1514.31
2001 - 42H0,1324.76,1324.76,0.0,62.72,34.13,159.24,843.43,149.88,703.59,29.73,163.36,193.57,191.72,2434.52
2001 - 43G1,0.0,0.0,0.0,0.0,0.0,1.25,0.85,0.0,0.0,0.0,0.0,0.0,0.0,2.1
2001 - 43G7,2134.79,1676.57,51.86,28.45,14.04,127.73,909.96,183.94,1143.54,157.13,521.72,270.41,70.45,3384.88
2001 - 43G8,153.33,97.3,3.48,1.77,0.0,22.74,523.07,123.94,392.3,44.34,171.7,29.56,11.37,1319.02
2001 - 43G9,3051.52,2906.74,226.83,212.01,4.48,48.05,395.8,44.96,422.22,49.41,133.76,101.49,13.71,1209.4
2001 - 43H0,2025.42,1988.38,104.84,172.37,62.89,277.56,906.11,42.56,738.2,20.9,100.65,112.49,56.49,2254.96
2001 - 43H1,0.0,0.0,0.0,0.0,330.68,182.87,449.02,26.64,254.7,0.0,44.24,34.58,0.0,992.05
2001 - 44G0,0.0,0.0,0.0,0.0,3.11,766.12,27.16,0.0,0.0,0.0,0.0,0.0,0.0,793.28
2001 - 44G1,0.0,0.0,0.0,0.0,2.26,240.73,10.39,0.0,0.0,0.0,0.0,0.0,0.0,251.12
