,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1997 - 42G1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27
1997 - 42G2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.89,0.3,0.0,0.0,0.0,1.49
1997 - 42G8,694.59,373.7,24.88,6.1,401.58,0.0,2551.81,3034.0,98.79,602.83,73.68,234.41,0.0,6595.52
1997 - 42G9,3397.22,3317.5,255.17,111.4,9.32,3.72,1916.52,2149.73,100.73,246.24,38.87,55.94,42.74,4554.49
1997 - 42H0,1241.57,534.8,59.68,11.98,674.87,346.66,1551.88,952.17,0.0,158.36,10.34,52.79,20.68,3092.88
1997 - 43G9,3006.97,2698.69,238.04,146.84,95.9,170.34,2033.78,3131.0,48.92,459.29,130.32,125.17,70.57,6169.39
1997 - 43H0,2051.66,1488.66,190.25,108.57,1333.14,267.21,1932.67,1813.36,130.65,315.94,229.64,62.51,22.25,4774.23
1997 - 43H1,0.0,0.0,0.0,0.0,1014.69,177.94,1302.13,1031.57,92.14,196.47,110.66,21.45,18.52,2950.88
1997 - 44G9,1856.23,1359.72,81.99,42.17,1669.03,197.53,1185.21,1863.92,74.87,418.97,0.0,74.87,0.0,3815.37
1997 - 44H0,2886.08,2310.57,145.73,67.21,1361.16,109.18,1760.85,2217.89,66.29,226.96,85.79,6.65,9.93,4483.54
1997 - 44H1,146.23,10.96,1.54,0.01,515.78,400.78,2587.85,2706.76,94.2,376.43,164.99,164.62,23.6,6519.23
1997 - 45G9,2289.7,1858.86,118.31,67.39,2005.38,87.16,841.92,2598.55,58.11,588.1,232.43,166.98,29.05,4602.3
1997 - 45H0,2955.74,2019.31,104.94,39.62,1682.1,170.98,1382.43,3690.11,56.99,474.54,246.57,188.18,145.95,6355.75
1997 - 45H1,490.92,172.99,7.12,0.67,2255.8,548.94,2340.62,2279.63,76.24,198.23,22.87,121.99,0.0,5588.52
1998 - 37G0,0.0,0.0,0.0,0.0,72.88,188.6,66.72,101.86,38.01,9.29,0.0,0.0,1.34,405.82
1998 - 37G1,0.0,0.0,0.0,0.0,46.02,179.52,82.92,131.16,49.87,9.3,0.76,0.0,0.8,454.33
1998 - 37G2,0.0,0.0,0.0,0.0,4.57,5.32,5.05,13.88,6.08,1.79,0.0,0.0,0.0,32.12
1998 - 37G4,0.0,0.0,0.0,0.0,0.85,64.94,25.34,25.28,20.73,6.0,1.83,0.0,0.0,144.12
1998 - 37G5,0.0,0.0,0.0,0.0,4.89,521.36,66.12,339.42,158.9,34.74,5.19,2.56,3.76,1132.05
1998 - 37G6,0.0,0.0,0.0,0.0,0.56,69.52,6.95,35.0,13.44,3.03,0.78,0.14,0.55,129.41
1998 - 37G8,0.0,0.0,0.0,0.0,1.73,190.04,37.24,66.15,26.66,3.19,0.95,0.0,0.0,324.23
1998 - 37G9,0.0,0.0,0.0,0.0,4.9,290.57,53.44,93.4,31.62,3.38,0.66,0.0,0.0,473.07
1998 - 38G0,43.48,0.0,0.09,0.0,28.27,6.06,2.21,3.53,1.42,0.25,0.0,0.0,0.0,13.47
1998 - 38G1,0.0,0.0,0.0,0.0,0.85,0.3,0.12,0.15,0.04,0.0,0.0,0.0,0.0,0.61
1998 - 38G2,15.83,0.0,0.02,0.0,6.24,17.47,10.34,26.65,10.23,2.96,0.0,0.0,0.0,67.65
1998 - 38G3,0.0,0.0,0.0,0.0,102.37,661.62,130.7,225.27,55.92,24.54,0.0,0.0,0.0,1098.05
1998 - 38G4,7.92,0.0,0.02,0.0,8.98,616.21,226.27,265.3,175.41,51.05,13.23,0.0,0.0,1347.47
1998 - 38G5,1148.61,625.41,8.33,2.62,5.5,881.73,132.37,699.72,377.71,82.5,11.01,8.62,6.8,2200.46
1998 - 38G6,23.71,23.71,0.0,0.08,3.27,933.1,137.0,727.59,380.87,78.5,11.39,8.68,6.55,2283.68
1998 - 38G8,368.06,94.91,8.99,0.32,23.2,1447.75,293.94,481.64,199.09,26.82,6.52,0.0,0.0,2455.76
1998 - 38G9,1725.61,1395.81,60.62,19.24,391.62,6048.54,463.7,711.27,250.63,36.74,5.1,1.02,0.0,7517.0
1998 - 39F9,31.53,0.0,0.1,0.0,144.12,5.82,3.93,7.86,4.49,1.08,0.0,0.0,0.0,23.18
1998 - 39G0,43.29,0.0,0.08,0.0,2.06,13.4,2.28,2.19,0.56,0.08,0.0,0.0,0.0,18.51
1998 - 39G1,39.2,0.0,0.14,0.0,7.73,3.19,0.59,0.48,0.03,0.0,0.0,0.0,0.0,4.29
1998 - 39G2,0.0,0.0,0.0,0.0,,,,,,,,,,
1998 - 39G3,0.0,0.0,0.0,0.0,3.14,215.01,121.67,269.94,105.55,26.24,0.0,0.0,0.0,738.41
1998 - 39G4,1206.0,0.0,13.49,0.0,0.52,175.03,50.36,95.51,72.41,16.76,7.35,2.69,0.0,420.11
1998 - 39G5,3165.82,2188.1,71.02,33.54,0.0,123.2,6.39,27.29,60.23,17.69,63.38,9.5,0.0,307.68
1998 - 39G6,2089.02,1387.53,29.99,18.87,0.0,414.21,24.96,271.17,152.81,25.1,31.23,34.26,0.0,953.74
1998 - 39G7,1609.03,145.23,30.39,0.2,0.0,1040.86,122.16,705.57,365.73,64.3,3.57,5.71,3.06,2310.96
1998 - 39G8,2976.17,1048.57,76.26,4.81,12.55,1970.74,375.4,638.15,210.57,40.69,21.03,6.97,3.48,3267.03
1998 - 39G9,3460.67,2737.38,108.18,27.4,0.0,5325.36,775.36,1164.38,652.02,202.72,51.52,14.42,6.47,8192.25
1998 - 39H0,466.2,7.8,4.02,0.01,25.77,6810.5,460.8,455.64,150.54,26.5,15.56,2.57,0.0,7922.11
1998 - 40F9,0.0,0.0,0.0,0.0,1.39,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1998 - 40G0,73.73,0.0,0.19,0.0,64.78,0.69,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.71
1998 - 40G1,7.71,0.0,0.02,0.0,3.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
1998 - 40G2,69.41,0.0,0.2,0.0,0.0,29.89,11.0,14.31,7.35,0.16,0.0,0.0,0.0,62.71
1998 - 40G4,323.12,97.23,3.84,0.48,0.0,45.67,6.84,16.95,32.55,5.15,5.55,4.65,0.0,117.36
1998 - 40G5,323.35,218.18,4.05,1.76,0.0,722.26,160.35,518.63,659.96,114.97,71.42,63.92,0.0,2311.51
1998 - 40G6,1425.46,416.55,17.15,5.99,0.0,177.2,99.43,285.84,362.95,114.35,73.28,27.93,0.0,1140.98
1998 - 40G7,1022.74,0.0,5.09,0.0,0.0,84.47,47.39,136.25,173.0,54.5,34.93,13.31,0.0,543.85
1998 - 40G8,3352.14,2058.83,115.54,31.7,4.18,346.95,114.92,311.66,114.13,28.63,12.72,4.97,2.58,936.56
1998 - 40G9,3344.49,1378.18,76.07,14.71,18.89,1732.9,589.7,807.98,393.8,83.83,58.17,8.05,0.0,3674.43
1998 - 40H0,1533.51,206.04,20.79,0.41,152.3,11428.19,285.19,434.3,168.62,96.72,33.86,37.28,0.0,12484.16
1998 - 41G0,19.21,0.0,0.04,0.0,,,,,,,,,,
1998 - 41G1,444.66,0.0,1.86,0.0,1.06,0.68,0.24,0.14,0.0,0.0,0.0,0.0,0.0,1.06
1998 - 41G2,955.75,0.0,5.41,0.0,,,,,,,,,,
1998 - 41G5,0.0,0.0,0.0,0.0,0.0,37.45,17.65,63.98,58.94,4.33,12.27,3.11,0.0,197.73
1998 - 41G6,453.84,0.0,3.34,0.0,0.0,223.39,105.31,381.68,351.6,25.8,73.17,18.57,0.0,1179.52
1998 - 41G7,252.78,0.0,1.24,0.0,0.0,297.26,83.5,112.11,55.86,25.72,9.7,0.0,0.0,584.15
1998 - 41G8,2052.11,1580.81,83.57,36.68,0.0,962.87,212.5,512.03,471.23,152.18,69.9,17.39,20.52,2418.62
1998 - 41G9,3257.86,2326.11,146.9,74.78,0.0,1873.53,101.45,808.81,466.47,260.09,19.59,16.51,41.08,3587.53
1998 - 41H0,660.32,98.89,7.75,0.54,27.41,2175.86,87.11,170.08,68.98,47.61,32.57,7.96,0.0,2590.17
1998 - 42G1,0.0,0.0,0.0,0.0,0.0,0.66,2.58,10.86,8.24,1.72,0.0,3.08,0.0,27.14
1998 - 42G2,0.0,0.0,0.0,0.0,0.09,1.71,0.25,0.1,0.05,0.0,0.0,0.0,0.0,2.11
1998 - 42G6,272.8,0.0,3.58,0.0,0.0,94.33,68.16,205.99,133.92,27.81,11.51,7.85,0.0,549.57
1998 - 42G7,2497.2,172.67,52.52,0.99,0.0,312.48,225.78,682.36,443.61,92.14,38.14,26.01,0.0,1820.52
1998 - 42G8,739.85,547.33,28.67,13.83,0.0,300.94,400.36,836.42,589.38,124.35,67.42,19.69,0.0,2338.56
1998 - 42G9,3397.22,3397.22,285.78,187.04,0.0,1688.71,290.85,846.03,490.7,118.28,91.64,13.65,68.22,3608.08
1998 - 42H0,1785.36,1192.8,88.11,46.84,0.0,2648.35,287.86,1324.18,959.55,345.44,115.15,19.19,57.57,5757.29
1998 - 43G7,2350.34,1456.18,65.07,22.64,0.0,212.9,240.46,663.49,329.1,237.03,141.5,24.89,0.0,1849.37
1998 - 43G9,3088.6,2568.48,255.53,151.06,0.0,859.32,235.8,1088.68,749.21,124.26,100.33,11.52,57.59,3226.71
1998 - 43H0,2268.59,1749.76,205.6,141.64,0.0,4448.06,210.7,2013.33,1638.76,210.7,421.4,280.93,140.47,9364.35
1998 - 44G7,3265.61,2780.05,158.31,70.0,0.0,437.88,976.57,2243.6,1631.13,854.22,303.68,31.69,0.0,6478.77
