,A43ml,A1ml,V43ml,V1ml,Depth,Length,Weight,Gutted weight,Age,Maturity,Gonad weight,Liver weight,Stomach content,perc.stomachcontent,Prey size,Prey weight,Prey nr,Sex : F,Sex : M,Gall bladder : 0.0,Gall bladder : 1.0,Gall bladder : 2.0,Gall bladder : 3.0,Gall bladder : 4.0,n.full : 1.0,n.regurgitated : 1.0,n.skeletal : 1.0,n.empty : 1.0,Prey species : Algae,Prey species : Ammodytidae,Prey species : Amphipoda,Prey species : Anguilla anguilla,Prey species : Annelida,Prey species : Bivalvia,Prey species : Bylgides sarsi,Prey species : Carbon,Prey species : Clupea harengus,Prey species : Clupeidae,Prey species : Copepoda,Prey species : Corophium volutator,Prey species : Crangon crangon,Prey species : Crustacea,Prey species : Cumacea,Prey species : Diastylis rathkei,Prey species : Empty,Prey species : Enchelyopus cimbrius,Prey species : Gadidae,Prey species : Gadus morhua,Prey species : Gammarus sp.,Prey species : Gasterosteus aculeatus,Prey species : Gobiidae,Prey species : Gobius niger,Prey species : Halicryptus,Prey species : Halicryptus spinulosus,Prey species : Hyperia galba,Prey species : Idotea balthica,Prey species : Limecola balthica,Prey species : Merlangius merlangus,Prey species : Mollusca,Prey species : Monoporeia affinis,Prey species : Mysidae,Prey species : Mysis mixta,Prey species : Mysis relicta,Prey species : Mytilus sp.,Prey species : Neomysis integer,Prey species : Palaemon sp.,Prey species : Pectinaria sp.,Prey species : Pisces,Prey species : Pisces Eggs,Prey species : Platichthys flesus,Prey species : Pleuronectes platessa,Prey species : Pleuronectidae,Prey species : Pomatoschistus minutus,Prey species : Pontoporeia femorata,Prey species : Pontoporeia sp.,Prey species : Praunus flexuosus,Prey species : Priapulida,Prey species : Priapulidae,Prey species : Priapulus caudatus,Prey species : Pungitius pungitius,Prey species : Remains,Prey species : Saduria entomon,Prey species : Scales,Prey species : Scoloplos armiger,Prey species : Spinachia spinachia,Prey species : Spine,Prey species : Sprattus sprattus,Prey species : Stone,Prey species : Terebellides stroemii,Prey species : Trachurus trachurus,Prey species : Unidentified mass,Prey species : Waste,Prey species : Wood,Prey species : Zoarces viviparus,Prey species : digestive tract,Prey species : litter,Prey species : plastic,Prey species : sprattus sprattus,Stage digestion : 0.0,Stage digestion : 1.0,Stage digestion : 2.0
2007 - 40G8,2856.06,2281.73,91.72,48.05,,36.1731843575419,464.91620111731845,,,,,,2.091340782122905,0.39659217877094977,,1.309553072625698,,0.4692737430167598,0.5307262569832403,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3687150837988827,0.0,0.01675977653631285,0.0,0.0,0.0,0.0,0.0,0.0111731843575419,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027932960893854747,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0223463687150838,0.16201117318435754,0.0,0.0,0.0,0.0,0.0,0.0335195530726257,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.30726256983240224,0.0,0.0111731843575419,0.0,0.0,0.00558659217877095,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0
2007 - 41G7,0.0,0.0,0.0,0.0,,49.0,1401.5,,,,,,15.852500000000001,0.8049999999999999,,12.82,,0.25,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 41G8,1967.99,1780.38,67.64,47.36,,30.3,362.72727272727275,,,,,,3.301,0.54,,2.7110000000000003,,0.23333333333333334,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 39G4,622.87,289.18,5.31,0.81,,55.25,1873.8333333333333,,,3.8333333333333335,,,55.9075,2.811666666666666,,24.89166666666667,,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 40G4,955.69,147.96,10.2,0.45,,33.20882352941177,426.2823529411765,,,2.4171779141104293,,,7.117411764705882,1.1373529411764705,,2.606205882352941,,0.5088235294117647,0.49117647058823527,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008823529411764706,0.08823529411764706,0.0,0.01764705882352941,0.01764705882352941,0.0,0.0,0.04411764705882353,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0058823529411764705,0.020588235294117647,0.0,0.014705882352941176,0.0,0.0,0.029411764705882353,0.0058823529411764705,0.0058823529411764705,0.01764705882352941,0.0,0.0,0.0,0.008823529411764706,0.06470588235294118,0.0,0.0029411764705882353,0.03823529411764706,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.0,0.041176470588235294,0.0,0.0,0.0,0.011764705882352941,0.023529411764705882,0.0,0.0,0.21764705882352942,0.0,0.014705882352941176,0.0,0.0,0.1,0.0,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0
2008 - 40G5,2220.63,766.84,38.06,5.53,,40.44086021505376,792.4516129032259,,,3.3010752688172045,,,32.65935483870968,3.5126881720430108,,15.907204301075273,,0.6344086021505376,0.3655913978494624,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043010752688172046,0.0,0.13978494623655913,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.20430107526881722,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053763440860215055,0.0,0.0,0.0,0.0,0.3870967741935484,0.021505376344086023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 40G6,870.97,692.36,13.73,4.07,,43.53603603603604,1095.0,,,3.175675675675676,,,34.32126126126126,1.9669819819819818,,14.387612612612614,,0.6261261261261262,0.3738738738738739,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0045045045045045045,0.0,0.11711711711711711,0.0,0.10810810810810811,0.02702702702702703,0.0,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514,0.02702702702702703,0.0,0.0,0.0,0.03153153153153153,0.009009009009009009,0.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.13063063063063063,0.0,0.0,0.0,0.0,0.0,0.11261261261261261,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23873873873873874,0.0,0.0,0.0,0.0,0.11261261261261261,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 41G8,2029.13,1695.93,79.93,40.88,,28.651282051282053,248.4102564102564,,,,,,3.6493846153846152,0.7208717948717949,,2.2326666666666664,,0.49743589743589745,0.5025641025641026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035897435897435895,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.20512820512820512,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.22564102564102564,0.11794871794871795,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009 - 39G4,728.91,0.0,4.25,0.0,,37.34939759036145,975.8915662650602,,,2.6857142857142855,,,19.507389558232934,1.3338554216867469,,8.012048192771084,,0.5421686746987951,0.43775100401606426,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08835341365461848,0.0,0.0321285140562249,0.004016064257028112,0.0,0.0,0.0642570281124498,0.0,0.11646586345381527,0.0,0.0,0.008032128514056224,0.0,0.028112449799196786,0.040160642570281124,0.0,0.08433734939759036,0.0,0.0,0.01606425702811245,0.0,0.0,0.004016064257028112,0.0,0.0,0.0,0.004016064257028112,0.09236947791164658,0.0,0.0,0.07228915662650602,0.0,0.0,0.12048192771084337,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08433734939759036,0.0,0.008032128514056224,0.0,0.0,0.10040160642570281,0.012048192771084338,0.0,0.004016064257028112,0.004016064257028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009 - 40G4,408.6,54.47,5.27,0.09,,90.0,7435.0,,,,,,125.52,1.69,,62.760000000000005,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
