,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1999 - 50G9,0.0,0.0,0.0,0.0,2.98,24.09,58.05,31.06,26.98,27.38,12.74,12.94,10.85,204.09
1999 - 50H0,0.0,0.0,0.0,0.0,54.75,23.68,41.28,17.49,13.03,14.23,8.25,8.69,6.51,133.16
1999 - 51G8,0.0,0.0,0.0,0.0,0.09,1.89,37.83,18.36,19.56,23.35,10.68,11.27,9.68,132.62
1999 - 51G9,0.0,0.0,0.0,0.0,0.0,2.29,11.47,9.08,10.57,14.27,9.28,9.68,14.17,80.81
1999 - 51H0,0.0,0.0,0.0,0.0,4.89,20.76,50.1,12.37,9.78,8.78,3.69,4.09,4.29,113.86
1999 - 52G8,0.0,0.0,0.0,0.0,0.0,0.58,4.81,4.52,4.61,5.6,2.55,2.84,4.91,30.42
1999 - 52G9,0.0,0.0,0.0,0.0,0.0,6.17,12.63,7.46,5.07,4.97,2.58,2.78,2.08,43.74
1999 - 52H0,0.0,0.0,0.0,0.0,0.99,30.67,68.33,22.67,21.77,22.07,11.48,12.78,21.97,211.74
1999 - 53G8,0.0,0.0,0.0,0.0,0.0,0.0,3.89,3.09,4.59,7.19,4.69,5.79,8.69,37.93
1999 - 53H0,0.0,0.0,0.0,0.0,4.93,0.5,2.51,1.71,3.12,5.23,4.02,4.22,7.95,29.26
1999 - 54G8,0.0,0.0,0.0,0.0,0.0,0.55,14.29,11.61,12.95,18.97,15.63,19.76,33.49,127.25
1999 - 54G9,0.0,0.0,0.0,0.0,0.2,0.5,8.75,6.64,5.03,6.54,3.62,4.42,4.52,40.02
1999 - 54H0,0.0,0.0,0.0,0.0,2.47,19.82,27.43,10.97,11.5,13.09,6.9,9.2,8.31,107.22
1999 - 55G9,0.0,0.0,0.0,0.0,2.22,2.38,11.11,5.55,4.12,3.96,2.22,2.54,2.38,34.26
1999 - 55H0,0.0,0.0,0.0,0.0,5.1,4.65,11.97,6.65,6.21,5.54,2.77,2.43,2.32,42.54
1999 - 56H1,0.0,0.0,0.0,0.0,0.0,0.56,1.93,1.47,0.91,0.91,0.34,0.22,0.22,6.56
1999 - 57H1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.42,0.56,0.14,0.28,0.28,1.96
1999 - 57H2,0.0,0.0,0.0,0.0,0.78,0.19,0.78,1.18,2.17,2.76,0.78,0.98,1.18,10.02
1999 - 58H1,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.18,0.24,0.06,0.06,0.06,0.72
1999 - 58H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.38,0.38,0.09,0.09,0.19,1.22
1999 - 58H3,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.09,0.59,0.59,0.19,0.19,0.09,1.74
1999 - 59H2,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.14,0.29,0.29,0.14,0.0,0.0,0.86
1999 - 59H3,0.0,0.0,0.0,0.0,2.1,0.0,0.1,0.2,0.4,0.4,0.1,0.1,0.1,1.4
2000 - 37G0,352.55,0.0,1.48,0.0,12.78,36.81,0.98,0.0,0.05,0.0,0.0,0.0,0.0,37.84
2000 - 37G1,1378.69,0.0,6.82,0.0,135.49,139.47,16.9,4.16,6.27,5.22,0.91,0.0,0.0,172.93
2000 - 37G2,12.0,0.0,0.03,0.0,2.72,7.01,1.37,1.11,0.49,0.13,0.04,0.0,0.0,10.15
2000 - 37G4,0.0,0.0,0.0,0.0,93.5,27.82,18.16,23.43,6.3,13.54,2.77,0.76,0.69,93.47
2000 - 37G5,0.0,0.0,0.0,0.0,0.76,19.51,13.18,36.55,14.61,28.76,19.4,4.95,12.25,149.21
2000 - 37G8,4.0,0.0,0.03,0.0,128.26,17.69,4.37,17.06,5.0,8.62,12.23,4.01,3.71,72.69
2000 - 37G9,20.0,0.0,0.16,0.0,180.58,24.91,6.16,24.02,7.05,12.14,17.23,5.65,5.23,102.39
2000 - 38G0,1018.27,67.59,3.62,0.1,22.46,45.55,1.75,0.14,0.12,0.0,0.04,0.0,0.0,47.6
2000 - 38G1,275.34,0.0,1.71,0.0,0.17,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01
2000 - 38G2,7.93,0.0,0.01,0.0,269.96,142.55,42.57,31.92,16.92,6.47,2.72,0.14,0.16,243.45
2000 - 38G3,1378.74,0.0,5.89,0.0,138.75,123.12,88.79,96.38,78.48,27.47,16.25,2.37,2.2,435.06
2000 - 38G4,253.87,0.0,0.81,0.0,135.01,85.31,48.53,48.91,16.09,14.49,4.14,0.61,0.54,218.62
2000 - 38G5,2456.7,1104.93,40.76,10.65,54.85,75.3,38.24,108.83,42.22,80.75,50.75,13.06,24.96,434.11
2000 - 38G6,320.69,182.0,3.85,1.47,8.87,77.87,37.03,105.09,43.95,81.68,49.35,14.53,21.58,431.08
2000 - 38G7,0.0,0.0,0.0,0.0,4.07,16.59,7.79,24.93,9.21,14.83,8.87,2.52,4.14,88.88
2000 - 38G8,781.09,241.48,20.67,2.06,29.05,38.66,9.77,42.17,13.38,21.47,29.85,10.0,11.6,176.9
2000 - 38G9,1719.21,685.07,55.94,12.95,289.36,137.21,34.76,91.15,30.86,59.17,77.85,22.22,27.66,480.88
2000 - 39F9,74.9,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000 - 39G0,434.95,0.0,2.25,0.0,0.04,6.78,0.65,0.29,0.0,0.0,0.0,0.0,0.0,7.72
2000 - 39G1,411.75,0.0,2.38,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52
2000 - 39G2,117.56,0.0,0.36,0.0,,,,,,,,,,
2000 - 39G3,1067.06,0.0,4.44,0.0,65.5,70.68,29.12,21.66,10.02,3.89,1.22,0.08,0.1,136.77
2000 - 39G4,1442.82,128.79,13.89,1.02,35.62,88.75,47.99,28.31,10.3,4.39,1.1,0.0,0.0,180.84
2000 - 39G5,3098.9,2541.97,85.32,39.41,5.84,19.33,8.39,18.3,4.95,5.0,3.62,0.83,0.62,61.04
2000 - 39G6,2107.47,1188.79,38.66,16.39,8.6,40.88,64.67,84.05,45.92,89.5,81.71,47.8,29.26,483.79
2000 - 39G7,878.05,0.0,11.91,0.0,21.51,87.61,41.13,131.66,48.67,78.33,46.83,13.33,21.89,469.45
2000 - 39G8,2913.99,490.0,49.57,1.52,6.53,143.11,51.85,165.34,130.17,143.88,120.61,51.28,31.08,837.32
2000 - 39G9,2686.65,2035.73,83.01,32.11,0.92,47.51,26.44,123.54,58.9,95.44,106.0,51.96,29.84,539.63
2000 - 39H0,0.0,0.0,0.0,0.0,3.82,35.99,7.76,15.13,7.31,13.33,10.29,5.51,6.57,101.89
2000 - 40F9,58.24,0.0,0.13,0.0,0.02,2.34,0.36,0.16,0.0,0.0,0.0,0.0,0.0,2.86
2000 - 40G0,1247.98,65.75,5.55,0.34,0.28,27.74,4.31,1.94,0.01,0.0,0.0,0.0,0.0,34.0
2000 - 40G1,440.12,0.0,1.54,0.0,0.13,13.05,2.03,0.91,0.01,0.0,0.0,0.0,0.0,16.0
2000 - 40G2,274.67,0.0,1.45,0.0,13.15,197.68,105.3,34.17,15.59,6.85,3.08,0.95,0.32,363.94
2000 - 40G4,408.68,206.36,5.83,1.39,13.17,78.89,63.09,65.42,16.64,18.99,18.2,12.19,5.21,278.63
2000 - 40G5,1636.55,536.94,22.25,4.53,16.01,36.57,26.66,41.88,17.8,22.25,15.5,19.86,20.05,200.57
2000 - 40G6,1451.72,381.25,12.43,2.07,1.19,44.61,60.72,100.97,36.39,81.0,70.27,11.53,7.43,412.92
2000 - 40G7,0.0,0.0,0.0,0.0,5.0,48.95,26.29,59.29,25.27,34.23,25.68,17.9,8.96,246.57
2000 - 40G8,2619.13,2145.93,69.16,29.71,3.79,57.54,22.63,111.12,45.78,72.18,71.14,25.9,18.23,424.52
2000 - 40G9,3460.09,2048.36,69.69,18.56,0.0,41.34,15.06,44.58,22.43,30.11,30.5,6.45,5.33,195.8
2000 - 40H0,182.59,0.0,0.48,0.0,1.65,143.15,39.81,98.05,52.64,75.68,61.36,12.87,17.15,500.71
2000 - 41G0,288.14,0.0,1.0,0.0,,,,,,,,,,
2000 - 41G1,610.93,0.0,2.59,0.0,27.3,43.18,0.46,0.03,0.0,0.0,0.0,0.0,0.0,43.67
2000 - 41G2,1020.13,0.0,2.97,0.0,,,,,,,,,,
2000 - 41G6,0.0,0.0,0.0,0.0,4.35,24.89,10.26,44.65,4.55,9.35,8.45,1.94,2.01,106.1
2000 - 41G7,0.0,0.0,0.0,0.0,3.14,43.8,31.55,122.93,29.12,51.99,35.24,20.51,4.68,339.82
2000 - 41G8,1784.3,1581.53,62.84,25.39,0.0,5.12,6.12,25.01,9.95,9.43,9.93,4.23,3.53,73.32
2000 - 41G9,3303.97,2598.01,124.48,73.95,0.0,50.84,33.58,129.14,61.12,53.89,73.55,31.76,27.83,461.71
2000 - 41H0,591.39,243.74,6.86,1.95,0.0,22.26,20.54,47.63,36.79,57.47,80.3,43.81,34.31,343.11
2000 - 42G1,0.0,0.0,0.0,0.0,5.33,54.86,1.19,0.02,0.0,0.0,0.0,0.0,0.0,56.07
2000 - 42G2,155.48,0.0,0.21,0.0,70.16,215.6,8.49,1.12,0.38,0.19,0.0,0.0,0.0,225.78
2000 - 42G7,1299.08,583.59,22.98,8.03,0.0,5.59,3.57,36.83,44.13,45.72,33.92,17.88,0.0,187.64
2000 - 42G8,713.1,287.1,24.96,4.22,0.21,14.37,15.61,46.97,47.77,101.59,80.55,27.94,53.22,388.02
2000 - 42G9,3397.22,3397.22,266.5,181.72,0.0,1.23,1.92,12.95,7.21,6.88,8.39,3.55,3.47,45.6
2000 - 42H0,1664.95,1249.07,81.26,58.95,0.0,30.65,18.54,160.36,50.05,48.11,61.88,47.4,36.52,453.51
2000 - 43G7,2011.51,1568.4,46.37,22.52,0.0,20.47,5.23,54.44,43.82,48.63,41.62,19.34,0.0,233.55
2000 - 43G9,3099.81,2664.73,243.57,170.94,0.0,13.06,8.34,69.62,21.39,18.97,20.99,7.91,7.11,167.39
2000 - 43H0,2193.58,1973.44,202.8,168.74,0.0,3.66,1.86,12.51,5.79,5.33,7.29,4.69,4.37,45.5
2000 - 43H1,0.0,0.0,0.0,0.0,80.0,26.19,8.43,8.87,4.19,6.19,4.87,3.91,3.16,65.81
2000 - 44G7,3243.45,3173.49,148.38,107.7,0.0,92.08,12.83,80.33,10.4,7.43,8.23,0.0,0.0,211.3
2000 - 44G8,1330.17,1037.47,38.81,13.07,0.0,35.84,8.3,62.37,48.51,14.65,10.51,10.51,0.88,191.57
2000 - 44G9,1966.61,1072.93,89.2,40.62,0.0,39.22,48.26,267.82,56.5,102.73,150.33,63.98,37.18,766.02
2000 - 44H0,2691.6,2072.15,139.34,96.24,0.0,30.49,11.33,56.57,24.73,36.78,48.38,32.73,28.85,269.86
2000 - 44H1,0.0,0.0,0.0,0.0,171.0,42.19,13.54,15.21,7.5,11.32,9.65,6.83,5.97,112.21
2000 - 45G7,2350.21,2010.04,107.41,72.76,0.0,169.39,44.35,107.72,97.62,19.54,25.48,15.43,0.0,479.53
2000 - 45G8,3129.82,2163.22,158.25,79.55,0.0,30.94,0.0,136.2,21.84,121.64,83.11,6.67,0.0,400.4
2000 - 45G9,2282.62,1680.91,112.18,71.27,0.0,35.56,26.55,182.2,43.19,48.99,37.51,26.4,11.78,412.18
2000 - 45H0,2850.28,2451.43,103.9,68.01,0.0,24.67,10.95,78.38,16.8,14.05,11.15,9.05,5.27,170.32
2000 - 45H1,115.29,0.0,0.36,0.0,30.0,10.86,13.89,34.52,5.99,16.03,18.26,15.15,10.85,125.55
2000 - 46G7,43.14,3.6,0.42,0.0,0.08,19.26,3.79,22.47,10.32,10.25,12.61,2.12,0.08,80.9
2000 - 46G8,1779.68,1743.77,166.75,147.56,0.63,24.18,2.13,8.52,3.88,4.01,10.4,1.38,0.63,55.13
2000 - 46G9,2956.07,2834.03,129.7,112.78,10.55,76.05,15.78,120.27,14.53,24.4,20.3,0.0,0.0,271.33
2000 - 46H0,3182.04,2948.99,167.87,137.61,5.84,74.55,37.57,179.58,34.16,55.74,33.25,6.95,0.0,421.8
2000 - 47G9,721.65,721.65,0.13,6.9,10.52,134.35,67.7,323.62,61.56,100.45,59.91,12.52,0.0,760.11
2000 - 47H0,1663.14,1663.14,25.24,45.03,5.49,117.27,156.71,398.88,123.84,239.43,75.06,55.89,0.0,1167.08
2000 - 47H1,2339.02,2054.27,79.73,56.71,2.29,48.94,65.4,166.48,51.69,99.93,31.33,23.32,0.0,487.09
2000 - 47H3,322.38,3.51,2.07,0.0,221.52,3978.99,711.57,469.0,458.58,418.18,157.48,99.0,53.27,6346.07
2000 - 47H4,0.0,0.0,0.0,0.0,7.0,163.73,22.84,33.08,37.0,39.11,18.92,7.0,4.9,326.58
2000 - 47H7,0.0,0.0,0.0,0.0,27.1,169.21,14.37,12.13,12.25,13.19,8.18,1.97,1.97,233.27
2000 - 48G9,0.0,0.0,0.0,0.0,56.79,1883.7,206.34,723.18,301.01,296.95,42.37,172.04,103.97,3729.56
2000 - 48H0,3.48,3.48,0.0,0.0,51.33,1581.85,234.85,1017.02,622.67,536.35,218.01,469.21,356.24,5036.2
2000 - 48H1,87.25,83.75,0.47,0.87,21.46,515.42,156.77,865.5,685.09,548.87,308.86,576.21,466.72,4123.44
2000 - 48H2,27.93,0.0,0.04,0.0,0.0,1624.87,234.51,1040.97,665.26,502.41,214.33,347.56,156.16,4786.07
2000 - 48H3,10.46,0.0,0.03,0.0,129.29,2322.32,415.3,273.73,267.65,244.07,91.91,57.78,31.09,3703.85
2000 - 48H4,368.22,0.0,3.85,0.0,97.55,4398.32,427.41,467.93,495.54,488.7,223.26,86.85,54.91,6642.92
2000 - 48H5,1469.29,0.0,27.4,0.0,12.22,1369.21,223.87,338.54,344.97,298.71,151.89,71.86,62.64,2861.69
2000 - 48H6,1874.89,3.46,33.65,0.0,279.3,2543.6,304.91,337.85,311.75,284.65,133.56,37.38,19.98,3973.68
2000 - 48H7,1023.64,0.0,8.58,0.0,258.95,1616.81,137.36,115.96,117.09,126.1,78.25,18.85,18.85,2229.27
2000 - 49G9,0.0,0.0,0.0,0.0,3.07,57.89,7.6,27.44,13.67,12.74,8.08,16.31,26.14,169.87
2000 - 49H4,0.0,0.0,0.0,0.0,5.66,580.91,41.61,28.3,25.76,19.81,6.79,3.39,1.13,707.7
2000 - 49H5,3.44,0.0,0.0,0.0,13.14,743.79,138.64,180.69,174.77,145.21,72.27,34.49,41.06,1530.92
2000 - 49H6,433.1,0.0,4.51,0.0,69.23,1386.96,223.85,285.0,252.7,211.16,79.61,25.38,4.61,2469.27
2000 - 50G7,0.0,0.0,0.0,0.0,0.0,0.48,0.48,21.1,82.0,51.8,89.37,253.39,429.46,928.08
2000 - 50G8,0.0,0.0,0.0,0.0,0.0,1.18,1.18,51.33,199.38,125.95,217.29,616.08,1044.14,2256.53
2000 - 50G9,0.0,0.0,0.0,0.0,0.0,105.66,43.8,112.11,256.01,121.99,130.58,128.43,80.77,979.35
2000 - 50H0,0.0,0.0,0.0,0.0,9.51,74.9,28.65,60.0,139.43,62.24,67.37,63.23,46.57,542.39
2000 - 51G7,0.0,0.0,0.0,0.0,0.0,0.15,0.15,11.95,52.8,30.93,59.75,133.44,450.9,740.07
2000 - 51G8,0.0,0.0,0.0,0.0,0.0,0.98,1.64,50.83,201.04,116.66,216.1,421.59,911.2,1920.04
2000 - 51G9,0.0,0.0,0.0,0.0,0.0,1.33,2.67,54.98,181.71,106.61,169.64,344.66,734.27,1595.87
2000 - 51H0,0.0,0.0,0.0,0.0,39.2,186.0,67.22,117.08,277.32,114.84,126.04,111.48,98.08,1098.06
2000 - 51H1,0.0,0.0,0.0,0.0,17.05,80.9,29.23,50.92,120.62,49.95,54.82,48.48,42.67,477.59
2000 - 52G7,0.0,0.0,0.0,0.0,0.0,0.41,0.41,5.82,38.69,21.63,47.84,125.23,621.25,861.28
2000 - 52G8,0.0,0.0,0.0,0.0,0.0,6.33,0.89,53.5,251.23,131.5,242.15,419.01,781.84,1886.45
2000 - 52G9,0.0,0.0,0.0,0.0,0.0,0.92,0.92,27.73,84.14,54.08,82.29,219.61,538.2,1007.89
2000 - 52H0,0.0,0.0,0.0,0.0,0.0,272.72,133.42,188.8,479.16,203.91,203.07,154.4,160.32,1795.8
2000 - 52H1,0.0,0.0,0.0,0.0,0.0,89.26,40.94,55.03,136.42,58.17,67.41,83.54,141.33,672.1
2000 - 53G7,0.0,0.0,0.0,0.0,0.0,16.02,3.05,22.51,61.82,33.01,50.57,86.45,201.76,475.19
2000 - 53G8,0.0,0.0,0.0,0.0,0.0,9.13,4.01,41.67,121.37,65.43,88.1,155.37,395.97,881.05
2000 - 53H0,0.0,0.0,0.0,0.0,0.0,213.88,27.0,50.36,84.19,34.05,32.59,35.51,43.11,520.69
2000 - 53H1,0.0,0.0,0.0,0.0,0.0,26.99,3.4,6.35,10.62,4.29,4.11,4.48,5.47,65.71
2000 - 54G7,0.0,0.0,0.0,0.0,0.0,1.13,0.57,1.85,5.79,2.84,3.87,5.74,12.79,34.58
2000 - 54G8,0.0,0.0,0.0,0.0,0.0,42.01,21.26,68.61,214.88,105.31,143.61,212.76,473.44,1281.88
2000 - 54G9,0.0,0.0,0.0,0.0,0.0,192.7,57.25,95.24,273.64,120.58,171.23,230.14,384.37,1525.15
2000 - 54H0,0.0,0.0,0.0,0.0,0.0,433.76,107.81,171.38,325.94,122.77,105.94,119.65,208.17,1595.42
2000 - 55G8,0.0,0.0,0.0,0.0,0.0,50.89,12.75,14.38,31.72,12.06,13.91,14.18,21.99,171.88
2000 - 55G9,0.0,0.0,0.0,0.0,23.68,1173.26,170.53,198.96,278.7,86.05,77.37,43.42,87.67,2115.96
2000 - 55H0,0.0,0.0,0.0,0.0,8.61,638.51,114.65,156.01,260.44,91.21,79.84,74.18,133.47,1548.31
2001 - 37G0,8.07,0.0,0.03,0.0,113.58,29.03,1.26,0.0,0.84,0.84,0.0,0.0,0.0,31.97
2001 - 37G1,1519.33,84.64,8.23,0.11,212.74,38.59,19.38,6.32,6.44,3.21,4.28,0.0,0.0,78.22
2001 - 37G2,200.52,40.06,1.09,0.09,143.36,1.84,0.99,0.15,0.2,0.03,0.0,0.0,0.0,3.21
2001 - 37G5,0.0,0.0,0.0,0.0,44.84,46.68,145.17,61.58,120.36,37.9,35.28,36.94,11.25,495.16
2001 - 37G8,20.0,0.0,0.13,0.0,81.21,4.77,5.56,3.03,6.16,1.35,1.39,2.68,1.84,26.78
2001 - 37G9,56.0,0.0,0.43,0.0,111.91,13.24,16.49,8.66,17.64,3.47,3.38,6.94,4.28,74.1
2001 - 38G0,539.76,15.8,1.88,0.02,95.71,8.08,1.43,0.43,0.24,0.24,0.0,0.0,0.0,10.42
2001 - 38G1,107.8,0.0,0.48,0.0,157.03,2.52,0.08,0.0,0.06,0.06,0.0,0.0,0.0,2.72
2001 - 38G2,243.22,3.99,0.73,0.0,315.45,153.08,158.07,84.95,33.16,8.09,4.94,0.21,0.0,442.5
2001 - 38G3,1064.98,0.0,7.77,0.0,191.83,154.8,219.9,236.28,93.88,35.13,29.06,3.45,0.0,772.5
2001 - 38G4,202.06,0.0,0.47,0.0,155.33,279.09,328.01,168.05,64.4,14.14,6.61,0.46,0.0,860.76
2001 - 38G5,1526.17,213.63,16.33,0.72,39.04,43.62,135.45,58.36,111.31,33.84,31.6,33.19,10.58,457.95
2001 - 38G6,35.57,0.0,0.16,0.0,38.06,71.69,203.24,94.1,188.2,53.87,46.53,49.39,14.92,721.94
2001 - 38G7,0.0,0.0,0.0,0.0,4.9,8.15,28.5,12.59,21.26,6.32,6.65,6.93,2.69,93.09
2001 - 38G8,765.82,75.31,18.14,0.44,345.23,37.05,49.25,27.76,54.75,13.06,12.16,23.93,17.82,235.78
2001 - 38G9,2112.38,1539.07,56.9,21.49,68.74,71.99,106.96,54.61,102.24,35.28,41.1,54.15,34.9,501.23
2001 - 39F9,133.94,23.64,0.45,0.02,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 39G0,172.42,31.57,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 39G1,148.91,0.0,0.6,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 39G2,0.0,0.0,0.0,0.0,27.41,72.58,114.42,94.14,28.68,7.94,4.66,0.29,0.0,322.71
2001 - 39G3,1789.91,0.0,13.02,0.0,144.8,70.74,74.42,40.79,17.58,4.55,2.36,0.29,0.0,210.73
2001 - 39G4,1249.74,0.0,12.13,0.0,,,,,,,,,,
2001 - 39G5,3079.21,2078.15,84.07,34.59,33.61,86.69,155.43,92.4,127.06,18.3,5.05,9.03,0.0,493.96
2001 - 39G6,1831.04,646.07,24.97,6.39,34.57,37.82,123.62,54.14,97.72,24.1,23.98,22.59,6.46,390.43
2001 - 39G7,1425.24,0.0,20.73,0.0,32.74,54.47,190.5,84.15,142.11,42.27,44.45,46.33,17.99,622.27
2001 - 39G8,2586.98,317.75,52.99,0.66,15.57,39.8,94.8,49.22,104.68,32.6,27.77,47.53,28.19,424.59
2001 - 39G9,3338.64,2577.62,84.93,32.75,3.53,10.1,36.55,22.28,43.61,22.66,17.02,12.26,4.99,169.47
2001 - 39H0,125.06,74.21,1.7,0.39,184.76,118.67,80.5,41.77,74.58,50.9,45.05,40.55,25.53,477.55
2001 - 40F9,97.28,0.0,0.24,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 40G0,983.49,69.5,5.4,0.26,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 40G1,107.99,3.86,0.32,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 40G2,50.13,0.0,0.25,0.0,32.74,181.74,638.46,276.44,76.11,7.02,0.0,0.0,0.0,1179.77
2001 - 40G4,595.04,23.34,7.27,0.06,26.02,15.7,35.67,22.9,23.66,7.38,4.96,1.9,2.07,114.24
2001 - 40G5,1958.13,315.17,34.38,2.3,39.95,54.08,84.48,51.91,54.27,21.16,24.79,8.6,0.0,299.29
2001 - 40G6,1394.12,784.84,17.06,4.66,5.47,34.67,118.59,67.98,159.74,55.45,24.82,37.45,1.88,500.58
2001 - 40G7,478.26,19.38,2.76,0.02,0.0,53.0,154.46,75.81,103.61,18.42,20.28,10.29,2.49,438.36
2001 - 40G8,3081.7,1914.82,77.18,45.5,8.94,33.87,61.74,42.02,106.78,39.5,46.05,40.92,17.7,388.58
2001 - 40G9,3275.11,1256.87,70.58,14.61,4.02,30.99,92.15,76.59,134.54,42.41,36.83,22.62,13.05,449.18
2001 - 40H0,837.55,435.19,12.62,3.01,5.58,26.37,26.48,23.62,29.71,14.54,16.96,7.74,8.8,154.22
2001 - 41G0,744.06,3.84,4.31,0.01,,,,,,,,,,
2001 - 41G1,1774.97,0.0,11.18,0.0,182.38,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86
2001 - 41G2,1312.8,0.0,8.33,0.0,,,,,,,,,,
2001 - 41G6,72.36,26.61,0.17,0.05,1.96,27.3,29.12,7.24,16.74,6.85,1.65,0.67,0.0,89.57
2001 - 41G7,0.0,0.0,0.0,0.0,1.27,18.7,91.79,71.88,149.83,71.99,42.84,34.46,7.21,488.7
2001 - 41G8,1833.97,1833.97,4.54,51.15,0.0,3.05,36.79,18.45,45.46,20.92,10.57,10.85,10.61,156.7
2001 - 41G9,3142.83,2517.66,116.51,100.09,0.0,5.37,19.44,14.06,32.39,12.77,9.84,7.46,8.67,110.0
2001 - 41H0,240.36,171.26,0.26,1.83,2.38,14.15,48.48,28.28,34.59,11.55,6.12,12.7,11.25,167.12
2001 - 42G1,0.0,0.0,0.0,0.0,301.84,3.77,0.51,0.51,0.0,0.0,0.0,0.0,0.0,4.79
2001 - 42G2,311.03,0.0,1.4,0.0,124.0,5.99,0.42,0.0,0.0,0.0,0.0,0.0,0.0,6.41
2001 - 42G6,155.47,75.89,0.72,0.22,0.91,9.29,5.3,0.73,3.45,1.72,1.26,0.49,0.0,22.24
2001 - 42G7,1873.0,1684.99,3.54,18.87,0.43,28.74,23.31,4.12,30.11,7.74,3.61,1.72,0.0,99.35
2001 - 42G8,754.8,630.32,30.01,20.92,3.68,20.42,91.69,41.78,113.95,74.6,65.08,14.66,1.53,423.71
2001 - 42G9,3397.22,3397.22,207.77,246.31,0.0,20.41,114.89,43.19,111.23,17.52,16.7,23.64,19.16,366.74
2001 - 42H0,1324.76,1324.76,0.0,62.72,2.0,96.36,125.91,85.13,154.14,42.6,35.17,40.54,44.31,624.16
2001 - 43G1,0.0,0.0,0.0,0.0,327.85,23.13,10.4,0.0,0.0,0.0,0.0,0.0,0.0,33.53
2001 - 43G7,2134.79,1676.57,51.86,28.45,6.5,194.75,238.75,61.77,101.65,21.83,25.61,6.94,1.37,652.67
2001 - 43G8,153.33,97.3,3.48,1.77,0.0,12.29,58.85,39.52,94.28,29.86,37.48,1.46,0.0,273.74
2001 - 43G9,3051.52,2906.74,226.83,212.01,0.0,5.54,21.88,11.23,23.11,8.38,4.6,2.48,2.98,80.2
2001 - 43H0,2025.42,1988.38,104.84,172.37,0.0,30.89,56.98,41.37,67.36,24.28,17.73,16.57,20.83,276.01
2001 - 43H1,0.0,0.0,0.0,0.0,8.0,29.22,18.36,10.85,8.35,3.34,0.83,0.83,3.34,75.12
2001 - 44G0,0.0,0.0,0.0,0.0,276.69,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
2001 - 44G1,0.0,0.0,0.0,0.0,3634.8,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04
2001 - 44G7,3232.43,3041.33,148.68,106.62,3.59,108.64,137.19,41.64,32.03,8.39,18.05,3.78,1.32,351.04
2001 - 44G8,1326.52,1209.2,36.65,19.59,1.12,142.2,160.59,3.81,26.27,2.69,1.34,1.12,0.0,338.02
2001 - 44G9,1907.65,1742.27,89.4,67.31,0.0,11.22,36.59,12.8,21.07,7.09,0.78,2.75,5.51,97.81
2001 - 44H0,2871.37,2695.1,151.59,111.82,0.0,18.31,33.67,8.82,20.07,5.57,11.09,4.12,1.96,103.61
2001 - 44H1,124.24,32.87,1.45,0.17,2.0,21.25,9.76,3.86,2.15,0.63,1.21,0.44,2.16,41.46
2001 - 45G7,2498.37,2060.24,128.21,83.79,16.8,476.67,838.38,171.75,224.95,66.79,11.39,17.99,0.82,1808.74
2001 - 45G8,3216.87,3126.2,198.35,150.0,2.36,47.6,34.92,12.2,11.83,13.52,7.66,0.0,0.0,127.73
2001 - 45G9,2340.53,2141.33,128.74,101.31,0.0,13.88,37.28,6.08,20.29,5.58,4.52,0.71,3.6,91.94
2001 - 45H0,2995.65,2817.72,124.25,88.88,0.0,35.99,77.89,41.5,77.64,32.56,18.8,12.0,35.64,332.02
2001 - 45H1,530.63,266.84,8.64,2.75,0.0,94.04,117.96,26.12,17.78,5.41,5.22,4.38,1.46,272.37
2001 - 46G7,140.17,21.57,1.91,0.11,30.51,387.51,602.46,198.25,245.65,61.71,6.54,10.39,1.2,1513.71
2001 - 46G8,1961.77,1555.06,201.52,161.1,32.73,62.32,58.1,47.96,60.84,16.89,0.0,0.0,1.05,247.16
2001 - 46G9,2991.86,2675.44,165.48,120.81,2.87,74.06,171.44,160.51,46.87,8.62,1.72,0.0,0.36,463.58
