,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1998 - 43H0,2268.59,1749.76,205.6,141.64,0.0,2.36,0.42,8.03,18.58,15.19,10.16,4.96,3.9,63.6
1998 - 44G7,3265.61,2780.05,158.31,70.0,0.0,50.41,93.03,289.02,233.66,59.87,11.68,0.0,0.0,737.67
1998 - 44G8,1352.23,919.93,44.78,7.18,0.0,13.5,3.91,72.36,37.93,12.23,8.11,1.18,0.0,149.22
1998 - 44G9,1988.62,1536.28,93.64,58.31,0.0,4.6,1.47,11.65,33.83,23.99,12.48,4.26,2.79,95.07
1998 - 44H0,2588.93,1833.73,129.65,73.32,0.0,24.36,45.21,129.0,208.66,135.53,116.95,52.38,41.12,753.21
1998 - 44H1,0.0,0.0,0.0,0.0,1.0,40.56,20.28,35.49,28.73,20.28,11.83,3.38,5.07,165.62
1998 - 45G7,2346.51,1984.86,104.33,68.5,0.0,883.01,154.1,520.5,284.85,7.49,35.28,0.0,0.0,1885.23
1998 - 45G8,3180.62,2759.56,178.27,88.8,0.0,66.44,49.64,269.17,347.98,37.55,9.43,1.39,1.39,782.99
1998 - 45G9,2307.97,1870.1,122.23,78.8,0.0,24.4,16.84,69.98,23.02,7.73,2.35,0.0,0.0,144.32
1998 - 45H0,2716.06,1647.48,99.09,49.36,0.0,3.0,6.44,21.45,36.36,22.24,17.99,12.85,6.44,126.77
1998 - 45H1,3.6,0.0,0.02,0.0,0.0,261.43,298.99,878.19,972.09,634.41,280.4,280.77,112.31,3718.59
1998 - 46G7,86.27,0.0,0.28,0.0,0.0,129.19,51.48,75.91,72.98,69.15,31.27,6.97,0.0,436.95
1998 - 46G8,2107.72,1522.76,174.94,136.89,0.0,86.21,34.36,50.65,48.7,46.14,20.86,4.65,0.0,291.57
