,A43ml,A1ml,V43ml,V1ml,A>43ml,V>43ml,Total,Test
1991,0.33823969707232004,0.604885500178675,0.34522483575787843,0.570664380294622,0.056874802749005145,0.08411078394749985,64194.85999999999,1.0000000000000002
1992,0.3338336750139312,0.6075713957334785,0.33898612645042775,0.6016931019960431,0.05859492925259055,0.059320771553529356,42764.10999999999,1.0000000000000002
1993,0.39498473210760265,0.5136392794957692,0.3979127280708602,0.5107112835325116,0.09137598839662806,0.09137598839662806,17677.620000000003,0.9999999999999999
1994,0.20598614294618262,0.7087621084977616,0.20652340475320083,0.7082248466907435,0.08525174855605602,0.08525174855605602,59058.729999999974,1.0000000000000002
1995,0.34215277508376074,0.6014585253782552,0.3682296275359935,0.5753816729260225,0.056388699537983776,0.056388699537983776,32479.38000000001,0.9999999999999997
1996,0.2514658681925937,0.7085397219879858,0.2522757978254496,0.7077297923551297,0.039994409819420755,0.039994409819420755,40213.369999999995,1.0000000000000002
1997,0.41825233924749644,0.47206951880772036,0.41825233924749644,0.47206951880772036,0.1096781419447833,0.1096781419447833,20535.449999999997,1.0
1998,0.26188938078318863,0.6188894536173232,0.26188938078318863,0.6188894536173232,0.11922116559948823,0.11922116559948823,25262.879999999997,1.0
1999,0.1538463896749193,0.5251860297697801,0.17532102137095285,0.50079528963342,0.3209675805553009,0.3238836889956274,35880.009999999995,1.0000000000000004
2000,0.29930511904037727,0.35175954787985203,0.3951335393377749,0.18801817295893689,0.3489353330797704,0.41684828770328797,97648.38000000002,0.9999999999999998
2001,0.17774045229622193,0.6344097975361154,0.20064920156364222,0.611501048268695,0.18784975016766253,0.18784975016766253,33102.20000000001,0.9999999999999998
2002,0.10854008199560602,0.87245216922982,0.14101328395249185,0.8354257318155287,0.019007748774573768,0.02356098423197923,33718.880000000005,0.9999999999999998
2003,0.1404424926799761,0.8138919521285495,0.17711282797680677,0.777221616831719,0.045665555191474555,0.045665555191474555,55115.93999999999,1.0000000000000002
2004,0.20740600835421172,0.7295639893809456,0.20740600835421172,0.7295639893809456,0.06303000226484265,0.06303000226484265,36956.20999999999,1.0
2005,0.08919753516620396,0.7694812723570388,0.053188263106520146,0.7694335435512685,0.14132119247675756,0.17737819334221178,47350.85999999999,1.0000000000000002
2006,0.23971943182114186,0.7317186185800435,0.25944232500719355,0.7107044506385706,0.028561949598814015,0.029853224354235347,66794.46000000005,0.9999999999999993
2007,0.06975376650156842,0.5172998993556995,0.06604970206560447,0.5172998993556995,0.41294633414273224,0.4166503985786962,71151.56999999999,1.0000000000000002
2008,0.08300404154121914,0.41266070148388573,0.0648161746099806,0.41122534425442625,0.5043352569748958,0.5239584811355937,64416.01999999996,1.0000000000000007
2009,0.17108883978528105,0.330403418508578,0.1747312068269207,0.3254544216384948,0.49850774170614126,0.4998143715345848,76065.91999999997,1.0000000000000004
2010,0.11581831876743694,0.4934707712220667,0.0880027137706184,0.4934707712220667,0.3907109100104963,0.4185265150073148,73550.79999999999,1.0
2011,0.06481102308645868,0.5015846982398618,0.07102187413384717,0.49537384719247335,0.43360427867368,0.43360427867368,86445.47999999995,1.0000000000000004
2012,0.05575064440610766,0.5382326477015789,0.05846235433927352,0.5355209377684131,0.40601670789231364,0.40601670789231364,93000.35999999999,1.0000000000000002
2013,0.08632633546145237,0.5970878593628686,0.08712755718370861,0.5962866376406123,0.31658580517567886,0.31658580517567886,83410.12000000002,0.9999999999999998
2014,0.08587603242488993,0.6284770526754743,0.08773813651717084,0.6266149485831933,0.28564691489963584,0.28564691489963584,135921.51,1.0
2015,0.08518521463208543,0.7278492755804516,0.06193574400061465,0.7252885323178316,0.18696550978746307,0.21277572368155379,127033.43,1.0000000000000002
2016,0.08813404720830276,0.629035402206842,0.11222232446528613,0.6042266984831198,0.2828305505848551,0.2835509770515939,111933.70000000001,0.9999999999999998
2017,0.10735208953993684,0.5745650501476903,0.10735208953993684,0.5745650501476903,0.31808286031237276,0.31808286031237276,93056.12999999999,1.0
2018,0.20427605252853726,0.5618803823240078,0.20458943772311775,0.5580079849480233,0.2338435651474552,0.23740257732885928,101185.37999999996,1.0000000000000002
