ICES
49H6
38F9
40G7
41H0
38G0
37G2
39G8
55G8
48H7
48H5
37G6
47H7
39G9
42G9
42H0
46H0
41G0
37G1
52G8
51G8
40G4
40G8
45H1
58H1
40G0
41G6
56H1
57H2
38G9
48H1
39G7
40G1
50G7
44G7
40F9
40G9
54G9
53H1
58H2
58H3
41G2
43G1
51G9
50G9
39G6
57H1
45G7
49H4
45G9
40G2
39G1
55H0
44G9
54G7
42G8
38G4
46G8
43H0
39G5
47G9
44G0
47H0
43G7
37G0
46H2
44G1
55G9
39H0
59H3
44G8
44H0
45H0
38G6
47H3
49G8
48H6
47H1
43G2
40G5
48G9
38G8
40H0
52H1
38G3
53G7
37G8
51H0
59H2
39G3
49G9
39F9
38G2
52G9
43G9
43H1
42G1
52H0
50H0
37G5
54G8
53G9
52G7
48H2
44G6
53G8
51G7
40G6
44H1
42G2
54H0
51H1
47H4
46G7
38G5
37G4
49H5
38G7
39G4
37G3
43G8
50G8
48H0
53H0
37G9
48H3
42G6
41G7
46H1
48H4
45G8
41G5
41G1
43G6
42G7
47H2
39G0
38G1
41G9
39G2
41G8
46G9
