,A43ml,A1ml,V43ml,V1ml,A>43ml,V>43ml,Total,Test
1991,0.2198581560283688,0.24113475177304963,0.2127659574468085,0.22695035460992907,0.5390070921985816,0.5602836879432624,167542.47000000006,1.0
1992,0.2765957446808511,0.2695035460992908,0.2624113475177305,0.2624113475177305,0.45390070921985815,0.475177304964539,130959.94000000003,1.0
1993,0.24113475177304963,0.2553191489361702,0.2553191489361702,0.24113475177304963,0.5035460992907801,0.5035460992907801,53553.38999999999,0.9999999999999999
1994,0.19148936170212766,0.2907801418439716,0.19858156028368795,0.28368794326241137,0.5177304964539007,0.5177304964539007,174782.45,1.0
1995,0.2695035460992908,0.2765957446808511,0.2553191489361702,0.2695035460992908,0.45390070921985815,0.475177304964539,249758.52,1.0
1996,0.20567375886524822,0.3971631205673759,0.2198581560283688,0.3829787234042553,0.3971631205673759,0.3971631205673759,237700.49999999988,1.0
1997,0.2198581560283688,0.3120567375886525,0.2198581560283688,0.3049645390070922,0.46808510638297873,0.475177304964539,167259.91999999998,1.0
1998,0.18439716312056736,0.3262411347517731,0.18439716312056736,0.3262411347517731,0.48936170212765956,0.48936170212765956,197013.62999999998,1.0
1999,0.15602836879432624,0.3900709219858156,0.15602836879432624,0.36879432624113473,0.45390070921985815,0.475177304964539,217974.5200000001,1.0
2000,0.22695035460992907,0.3617021276595745,0.24113475177304963,0.3262411347517731,0.41134751773049644,0.4326241134751773,171233.79999999993,1.0
2001,0.16312056737588654,0.4397163120567376,0.1773049645390071,0.425531914893617,0.3971631205673759,0.3971631205673759,108203.79999999999,1.0
2002,0.16312056737588654,0.41134751773049644,0.18439716312056736,0.3829787234042553,0.425531914893617,0.4326241134751773,167338.87999999998,1.0
2003,0.2127659574468085,0.3617021276595745,0.22695035460992907,0.3404255319148936,0.425531914893617,0.4326241134751773,309170.33999999985,1.0
2004,0.2127659574468085,0.375886524822695,0.20567375886524822,0.375886524822695,0.41134751773049644,0.41843971631205673,184142.67999999993,1.0
2005,0.1276595744680851,0.3546099290780142,0.11347517730496454,0.3475177304964539,0.5177304964539007,0.5390070921985816,210021.78999999992,1.0
2006,0.2198581560283688,0.3829787234042553,0.22695035460992907,0.36879432624113473,0.3971631205673759,0.40425531914893614,322999.08,0.9999999999999999
2007,0.1773049645390071,0.3971631205673759,0.14893617021276595,0.3971631205673759,0.425531914893617,0.45390070921985815,177032.32,1.0
2008,0.20567375886524822,0.3404255319148936,0.19858156028368795,0.3262411347517731,0.45390070921985815,0.475177304964539,243642.29,1.0
2009,0.24113475177304963,0.2978723404255319,0.24113475177304963,0.28368794326241137,0.46099290780141844,0.475177304964539,223832.00000000006,1.0
2010,0.16312056737588654,0.4326241134751773,0.14184397163120568,0.4326241134751773,0.40425531914893614,0.425531914893617,165637.08999999997,1.0
2011,0.1773049645390071,0.40425531914893614,0.18439716312056736,0.3971631205673759,0.41843971631205673,0.41843971631205673,177802.91999999998,1.0
2012,0.20567375886524822,0.375886524822695,0.2198581560283688,0.3617021276595745,0.41843971631205673,0.41843971631205673,191617.4599999999,1.0
2013,0.1702127659574468,0.4326241134751773,0.1773049645390071,0.425531914893617,0.3971631205673759,0.3971631205673759,121133.46999999997,1.0
2014,0.20567375886524822,0.41843971631205673,0.2127659574468085,0.40425531914893614,0.375886524822695,0.3829787234042553,234525.86000000013,1.0
2015,0.19148936170212766,0.4397163120567376,0.19148936170212766,0.4326241134751773,0.36879432624113473,0.375886524822695,237812.47,1.0
2016,0.15602836879432624,0.425531914893617,0.15602836879432624,0.41843971631205673,0.41843971631205673,0.425531914893617,203573.86999999994,1.0
2017,0.2198581560283688,0.3617021276595745,0.2198581560283688,0.3546099290780142,0.41843971631205673,0.425531914893617,312321.56,1.0
2018,0.18439716312056736,0.41134751773049644,0.16312056737588654,0.40425531914893614,0.40425531914893614,0.4326241134751773,139404.03000000003,1.0
