,A43ml,A1ml,V43ml,V1ml
1979 - 40H5,0.0,0.0,0.0,0.0
1979 - 40H6,0.0,0.0,0.0,0.0
1979 - 40H7,0.0,0.0,0.0,0.0
1979 - 40H8,0.0,0.0,0.0,0.0
1979 - 40H9,0.0,0.0,0.0,0.0
1979 - 40I0,0.0,0.0,0.0,0.0
1979 - 41F9,0.0,0.0,0.0,0.0
1979 - 41G0,30.74,0.0,0.1,0.0
1979 - 41G1,11.52,0.0,0.01,0.0
1979 - 41G2,249.21,0.0,1.77,0.0
1979 - 41G3,0.0,0.0,0.0,0.0
1979 - 41G4,0.0,0.0,0.0,0.0
1979 - 41G5,0.0,0.0,0.0,0.0
1979 - 41G6,45.62,19.01,0.39,0.11
1979 - 41G7,76.04,3.8,0.25,0.01
1979 - 41G8,1914.3,719.66,64.14,11.15
1979 - 41G9,2452.64,2108.39,113.12,67.24
1979 - 41H0,125.54,19.01,1.15,0.07
1979 - 41H1,0.0,0.0,0.0,0.0
1979 - 41H2,0.0,0.0,0.0,0.0
1979 - 41H3,0.0,0.0,0.0,0.0
1979 - 41H4,0.0,0.0,0.0,0.0
1979 - 41H5,0.0,0.0,0.0,0.0
1979 - 41H6,0.0,0.0,0.0,0.0
1979 - 41H7,0.0,0.0,0.0,0.0
1979 - 41H8,0.0,0.0,0.0,0.0
1979 - 41H9,0.0,0.0,0.0,0.0
1979 - 41I0,0.0,0.0,0.0,0.0
1979 - 42F9,0.0,0.0,0.0,0.0
1979 - 42G0,0.0,0.0,0.0,0.0
1979 - 42G1,0.0,0.0,0.0,0.0
1979 - 42G2,0.0,0.0,0.0,0.0
1979 - 42G3,0.0,0.0,0.0,0.0
1979 - 42G4,0.0,0.0,0.0,0.0
1979 - 42G5,0.0,0.0,0.0,0.0
1979 - 42G6,193.36,79.69,2.43,0.53
1979 - 42G7,2580.74,1489.14,55.69,17.68
1979 - 42G8,720.99,501.99,26.94,11.76
1979 - 42G9,3397.22,3397.22,257.68,179.37
1979 - 42H0,1343.48,1086.68,65.17,43.16
1979 - 42H1,0.0,0.0,0.0,0.0
1979 - 42H2,0.0,0.0,0.0,0.0
1979 - 42H3,0.0,0.0,0.0,0.0
1979 - 42H4,0.0,0.0,0.0,0.0
1979 - 42H5,0.0,0.0,0.0,0.0
1979 - 42H6,0.0,0.0,0.0,0.0
1979 - 42H7,0.0,0.0,0.0,0.0
1979 - 42H8,0.0,0.0,0.0,0.0
