,A43ml,A1ml,V43ml,V1ml
1984 - 45H4,0.0,0.0,0.0,0.0
1984 - 45H5,0.0,0.0,0.0,0.0
1984 - 45H6,0.0,0.0,0.0,0.0
1984 - 45H7,0.0,0.0,0.0,0.0
1984 - 45H8,0.0,0.0,0.0,0.0
1984 - 45H9,0.0,0.0,0.0,0.0
1984 - 45I0,0.0,0.0,0.0,0.0
1984 - 46F9,0.0,0.0,0.0,0.0
1984 - 46G0,0.0,0.0,0.0,0.0
1984 - 46G1,0.0,0.0,0.0,0.0
1984 - 46G2,0.0,0.0,0.0,0.0
1984 - 46G3,0.0,0.0,0.0,0.0
1984 - 46G4,0.0,0.0,0.0,0.0
1984 - 46G5,0.0,0.0,0.0,0.0
1984 - 46G6,0.0,0.0,0.0,0.0
1984 - 46G7,32.36,0.0,0.24,0.0
1984 - 46G8,1804.38,1272.23,184.21,89.5
1984 - 46G9,2966.67,2252.06,162.94,55.39
1984 - 46H0,3081.76,2049.2,156.88,84.78
1984 - 46H1,820.76,216.77,11.21,2.41
1984 - 46H2,0.0,0.0,0.0,0.0
1984 - 46H3,0.0,0.0,0.0,0.0
1984 - 46H4,0.0,0.0,0.0,0.0
1984 - 46H5,0.0,0.0,0.0,0.0
1984 - 46H6,0.0,0.0,0.0,0.0
1984 - 46H7,0.0,0.0,0.0,0.0
1984 - 46H8,0.0,0.0,0.0,0.0
1984 - 46H9,0.0,0.0,0.0,0.0
1984 - 46I0,0.0,0.0,0.0,0.0
1984 - 47F9,0.0,0.0,0.0,0.0
1984 - 47G0,0.0,0.0,0.0,0.0
1984 - 47G1,0.0,0.0,0.0,0.0
1984 - 47G2,0.0,0.0,0.0,0.0
1984 - 47G3,0.0,0.0,0.0,0.0
1984 - 47G4,0.0,0.0,0.0,0.0
1984 - 47G5,0.0,0.0,0.0,0.0
1984 - 47G6,0.0,0.0,0.0,0.0
1984 - 47G7,0.0,0.0,0.0,0.0
1984 - 47G8,0.0,0.0,0.0,0.0
1984 - 47G9,1081.8,14.18,19.19,0.2
1984 - 47H0,1336.08,700.83,40.72,12.28
1984 - 47H1,1552.83,851.67,44.47,19.56
1984 - 47H2,439.41,28.15,4.62,0.05
1984 - 47H3,0.0,0.0,0.0,0.0
1984 - 47H4,0.0,0.0,0.0,0.0
1984 - 47H5,0.0,0.0,0.0,0.0
1984 - 47H6,0.0,0.0,0.0,0.0
1984 - 47H7,0.0,0.0,0.0,0.0
1984 - 47H8,0.0,0.0,0.0,0.0
1984 - 47H9,0.0,0.0,0.0,0.0
1984 - 47I0,0.0,0.0,0.0,0.0
1984 - 48F9,0.0,0.0,0.0,0.0
1984 - 48G0,0.0,0.0,0.0,0.0
1984 - 48G1,0.0,0.0,0.0,0.0
1984 - 48G2,0.0,0.0,0.0,0.0
1984 - 48G3,0.0,0.0,0.0,0.0
1984 - 48G4,0.0,0.0,0.0,0.0
1984 - 48G5,0.0,0.0,0.0,0.0
1984 - 48G6,0.0,0.0,0.0,0.0
1984 - 48G7,0.0,0.0,0.0,0.0
1984 - 48G8,0.0,0.0,0.0,0.0
1984 - 48G9,0.0,0.0,0.0,0.0
1984 - 48H0,0.0,0.0,0.0,0.0
1984 - 48H1,0.0,0.0,0.0,0.0
1984 - 48H2,0.0,0.0,0.0,0.0
1984 - 48H3,0.0,0.0,0.0,0.0
1984 - 48H4,0.0,0.0,0.0,0.0
1984 - 48H5,0.0,0.0,0.0,0.0
1984 - 48H6,0.0,0.0,0.0,0.0
1984 - 48H7,0.0,0.0,0.0,0.0
1984 - 48H8,0.0,0.0,0.0,0.0
1984 - 48H9,0.0,0.0,0.0,0.0
1984 - 48I0,0.0,0.0,0.0,0.0
1984 - 49F9,0.0,0.0,0.0,0.0
1984 - 49G0,0.0,0.0,0.0,0.0
1984 - 49G1,0.0,0.0,0.0,0.0
1984 - 49G2,0.0,0.0,0.0,0.0
1984 - 49G3,0.0,0.0,0.0,0.0
1984 - 49G4,0.0,0.0,0.0,0.0
1984 - 49G5,0.0,0.0,0.0,0.0
1984 - 49G6,0.0,0.0,0.0,0.0
1984 - 49G7,0.0,0.0,0.0,0.0
1984 - 49G8,0.0,0.0,0.0,0.0
1984 - 49G9,0.0,0.0,0.0,0.0
1984 - 49H0,0.0,0.0,0.0,0.0
1984 - 49H1,0.0,0.0,0.0,0.0
1984 - 49H2,0.0,0.0,0.0,0.0
1984 - 49H3,0.0,0.0,0.0,0.0
1984 - 49H4,0.0,0.0,0.0,0.0
1984 - 49H5,0.0,0.0,0.0,0.0
1984 - 49H6,0.0,0.0,0.0,0.0
1984 - 49H7,0.0,0.0,0.0,0.0
1984 - 49H8,0.0,0.0,0.0,0.0
1984 - 49H9,0.0,0.0,0.0,0.0
1984 - 49I0,0.0,0.0,0.0,0.0
1984 - 50F9,0.0,0.0,0.0,0.0
1984 - 50G0,0.0,0.0,0.0,0.0
1984 - 50G1,0.0,0.0,0.0,0.0
1984 - 50G2,0.0,0.0,0.0,0.0
1984 - 50G3,0.0,0.0,0.0,0.0
1984 - 50G4,0.0,0.0,0.0,0.0
1984 - 50G5,0.0,0.0,0.0,0.0
1984 - 50G6,0.0,0.0,0.0,0.0
1984 - 50G7,0.0,0.0,0.0,0.0
1984 - 50G8,0.0,0.0,0.0,0.0
1984 - 50G9,0.0,0.0,0.0,0.0
1984 - 50H0,0.0,0.0,0.0,0.0
1984 - 50H1,0.0,0.0,0.0,0.0
1984 - 50H2,0.0,0.0,0.0,0.0
1984 - 50H3,0.0,0.0,0.0,0.0
1984 - 50H4,0.0,0.0,0.0,0.0
1984 - 50H5,0.0,0.0,0.0,0.0
1984 - 50H6,0.0,0.0,0.0,0.0
1984 - 50H7,0.0,0.0,0.0,0.0
1984 - 50H8,0.0,0.0,0.0,0.0
1984 - 50H9,0.0,0.0,0.0,0.0
1984 - 50I0,0.0,0.0,0.0,0.0
1984 - 51F9,0.0,0.0,0.0,0.0
1984 - 51G0,0.0,0.0,0.0,0.0
1984 - 51G1,0.0,0.0,0.0,0.0
1984 - 51G2,0.0,0.0,0.0,0.0
1984 - 51G3,0.0,0.0,0.0,0.0
1984 - 51G4,0.0,0.0,0.0,0.0
1984 - 51G5,0.0,0.0,0.0,0.0
1984 - 51G6,0.0,0.0,0.0,0.0
1984 - 51G7,0.0,0.0,0.0,0.0
1984 - 51G8,0.0,0.0,0.0,0.0
1984 - 51G9,0.0,0.0,0.0,0.0
1984 - 51H0,0.0,0.0,0.0,0.0
1984 - 51H1,0.0,0.0,0.0,0.0
1984 - 51H2,0.0,0.0,0.0,0.0
1984 - 51H3,0.0,0.0,0.0,0.0
1984 - 51H4,0.0,0.0,0.0,0.0
1984 - 51H5,0.0,0.0,0.0,0.0
1984 - 51H6,0.0,0.0,0.0,0.0
1984 - 51H7,0.0,0.0,0.0,0.0
1984 - 51H8,0.0,0.0,0.0,0.0
1984 - 51H9,0.0,0.0,0.0,0.0
1984 - 51I0,0.0,0.0,0.0,0.0
1984 - 52F9,0.0,0.0,0.0,0.0
1984 - 52G0,0.0,0.0,0.0,0.0
1984 - 52G1,0.0,0.0,0.0,0.0
1984 - 52G2,0.0,0.0,0.0,0.0
1984 - 52G3,0.0,0.0,0.0,0.0
1984 - 52G4,0.0,0.0,0.0,0.0
1984 - 52G5,0.0,0.0,0.0,0.0
1984 - 52G6,0.0,0.0,0.0,0.0
1984 - 52G7,0.0,0.0,0.0,0.0
1984 - 52G8,0.0,0.0,0.0,0.0
1984 - 52G9,0.0,0.0,0.0,0.0
1984 - 52H0,0.0,0.0,0.0,0.0
1984 - 52H1,0.0,0.0,0.0,0.0
1984 - 52H2,0.0,0.0,0.0,0.0
1984 - 52H3,0.0,0.0,0.0,0.0
1984 - 52H4,0.0,0.0,0.0,0.0
1984 - 52H5,0.0,0.0,0.0,0.0
1984 - 52H6,0.0,0.0,0.0,0.0
1984 - 52H7,0.0,0.0,0.0,0.0
1984 - 52H8,0.0,0.0,0.0,0.0
1984 - 52H9,0.0,0.0,0.0,0.0
1984 - 52I0,0.0,0.0,0.0,0.0
1984 - 53F9,0.0,0.0,0.0,0.0
1984 - 53G0,0.0,0.0,0.0,0.0
1984 - 53G1,0.0,0.0,0.0,0.0
1984 - 53G2,0.0,0.0,0.0,0.0
1984 - 53G3,0.0,0.0,0.0,0.0
1984 - 53G4,0.0,0.0,0.0,0.0
1984 - 53G5,0.0,0.0,0.0,0.0
1984 - 53G6,0.0,0.0,0.0,0.0
1984 - 53G7,0.0,0.0,0.0,0.0
1984 - 53G8,0.0,0.0,0.0,0.0
1984 - 53G9,0.0,0.0,0.0,0.0
1984 - 53H0,0.0,0.0,0.0,0.0
1984 - 53H1,0.0,0.0,0.0,0.0
1984 - 53H2,0.0,0.0,0.0,0.0
1984 - 53H3,0.0,0.0,0.0,0.0
1984 - 53H4,0.0,0.0,0.0,0.0
1984 - 53H5,0.0,0.0,0.0,0.0
1984 - 53H6,0.0,0.0,0.0,0.0
1984 - 53H7,0.0,0.0,0.0,0.0
1984 - 53H8,0.0,0.0,0.0,0.0
1984 - 53H9,0.0,0.0,0.0,0.0
1984 - 53I0,0.0,0.0,0.0,0.0
1984 - 54F9,0.0,0.0,0.0,0.0
1984 - 54G0,0.0,0.0,0.0,0.0
1984 - 54G1,0.0,0.0,0.0,0.0
1984 - 54G2,0.0,0.0,0.0,0.0
1984 - 54G3,0.0,0.0,0.0,0.0
1984 - 54G4,0.0,0.0,0.0,0.0
1984 - 54G5,0.0,0.0,0.0,0.0
1984 - 54G6,0.0,0.0,0.0,0.0
1984 - 54G7,0.0,0.0,0.0,0.0
1984 - 54G8,0.0,0.0,0.0,0.0
1984 - 54G9,0.0,0.0,0.0,0.0
1984 - 54H0,0.0,0.0,0.0,0.0
1984 - 54H1,0.0,0.0,0.0,0.0
1984 - 54H2,0.0,0.0,0.0,0.0
1984 - 54H3,0.0,0.0,0.0,0.0
1984 - 54H4,0.0,0.0,0.0,0.0
1984 - 54H5,0.0,0.0,0.0,0.0
1984 - 54H6,0.0,0.0,0.0,0.0
1984 - 54H7,0.0,0.0,0.0,0.0
1984 - 54H8,0.0,0.0,0.0,0.0
1984 - 54H9,0.0,0.0,0.0,0.0
1984 - 54I0,0.0,0.0,0.0,0.0
1984 - 55F9,0.0,0.0,0.0,0.0
1984 - 55G0,0.0,0.0,0.0,0.0
1984 - 55G1,0.0,0.0,0.0,0.0
1984 - 55G2,0.0,0.0,0.0,0.0
1984 - 55G3,0.0,0.0,0.0,0.0
1984 - 55G4,0.0,0.0,0.0,0.0
1984 - 55G5,0.0,0.0,0.0,0.0
1984 - 55G6,0.0,0.0,0.0,0.0
1984 - 55G7,0.0,0.0,0.0,0.0
1984 - 55G8,0.0,0.0,0.0,0.0
1984 - 55G9,0.0,0.0,0.0,0.0
1984 - 55H0,0.0,0.0,0.0,0.0
1984 - 55H1,0.0,0.0,0.0,0.0
1984 - 55H2,0.0,0.0,0.0,0.0
1984 - 55H3,0.0,0.0,0.0,0.0
1984 - 55H4,0.0,0.0,0.0,0.0
1984 - 55H5,0.0,0.0,0.0,0.0
1984 - 55H6,0.0,0.0,0.0,0.0
1984 - 55H7,0.0,0.0,0.0,0.0
1984 - 55H8,0.0,0.0,0.0,0.0
1984 - 55H9,0.0,0.0,0.0,0.0
1984 - 55I0,0.0,0.0,0.0,0.0
1984 - 56F9,0.0,0.0,0.0,0.0
1984 - 56G0,0.0,0.0,0.0,0.0
1984 - 56G1,0.0,0.0,0.0,0.0
1984 - 56G2,0.0,0.0,0.0,0.0
1984 - 56G3,0.0,0.0,0.0,0.0
1984 - 56G4,0.0,0.0,0.0,0.0
1984 - 56G5,0.0,0.0,0.0,0.0
1984 - 56G6,0.0,0.0,0.0,0.0
1984 - 56G7,0.0,0.0,0.0,0.0
1984 - 56G8,0.0,0.0,0.0,0.0
1984 - 56G9,0.0,0.0,0.0,0.0
1984 - 56H0,0.0,0.0,0.0,0.0
1984 - 56H1,0.0,0.0,0.0,0.0
1984 - 56H2,0.0,0.0,0.0,0.0
1984 - 56H3,0.0,0.0,0.0,0.0
1984 - 56H4,0.0,0.0,0.0,0.0
1984 - 56H5,0.0,0.0,0.0,0.0
1984 - 56H6,0.0,0.0,0.0,0.0
1984 - 56H7,0.0,0.0,0.0,0.0
1984 - 56H8,0.0,0.0,0.0,0.0
1984 - 56H9,0.0,0.0,0.0,0.0
1984 - 56I0,0.0,0.0,0.0,0.0
1984 - 57F9,0.0,0.0,0.0,0.0
1984 - 57G0,0.0,0.0,0.0,0.0
1984 - 57G1,0.0,0.0,0.0,0.0
1984 - 57G2,0.0,0.0,0.0,0.0
1984 - 57G3,0.0,0.0,0.0,0.0
1984 - 57G4,0.0,0.0,0.0,0.0
1984 - 57G5,0.0,0.0,0.0,0.0
1984 - 57G6,0.0,0.0,0.0,0.0
1984 - 57G7,0.0,0.0,0.0,0.0
1984 - 57G8,0.0,0.0,0.0,0.0
1984 - 57G9,0.0,0.0,0.0,0.0
1984 - 57H0,0.0,0.0,0.0,0.0
1984 - 57H1,0.0,0.0,0.0,0.0
1984 - 57H2,0.0,0.0,0.0,0.0
1984 - 57H3,0.0,0.0,0.0,0.0
1984 - 57H4,0.0,0.0,0.0,0.0
1984 - 57H5,0.0,0.0,0.0,0.0
1984 - 57H6,0.0,0.0,0.0,0.0
1984 - 57H7,0.0,0.0,0.0,0.0
1984 - 57H8,0.0,0.0,0.0,0.0
1984 - 57H9,0.0,0.0,0.0,0.0
1984 - 57I0,0.0,0.0,0.0,0.0
1984 - 58F9,0.0,0.0,0.0,0.0
1984 - 58G0,0.0,0.0,0.0,0.0
1984 - 58G1,0.0,0.0,0.0,0.0
1984 - 58G2,0.0,0.0,0.0,0.0
1984 - 58G3,0.0,0.0,0.0,0.0
1984 - 58G4,0.0,0.0,0.0,0.0
1984 - 58G5,0.0,0.0,0.0,0.0
1984 - 58G6,0.0,0.0,0.0,0.0
1984 - 58G7,0.0,0.0,0.0,0.0
1984 - 58G8,0.0,0.0,0.0,0.0
1984 - 58G9,0.0,0.0,0.0,0.0
1984 - 58H0,0.0,0.0,0.0,0.0
1984 - 58H1,0.0,0.0,0.0,0.0
1984 - 58H2,0.0,0.0,0.0,0.0
1984 - 58H3,0.0,0.0,0.0,0.0
1984 - 58H4,0.0,0.0,0.0,0.0
1984 - 58H5,0.0,0.0,0.0,0.0
1984 - 58H6,0.0,0.0,0.0,0.0
1984 - 58H7,0.0,0.0,0.0,0.0
1984 - 58H8,0.0,0.0,0.0,0.0
1984 - 58H9,0.0,0.0,0.0,0.0
1984 - 58I0,0.0,0.0,0.0,0.0
1984 - 59F9,0.0,0.0,0.0,0.0
1984 - 59G0,0.0,0.0,0.0,0.0
1984 - 59G1,0.0,0.0,0.0,0.0
1984 - 59G2,0.0,0.0,0.0,0.0
1984 - 59G3,0.0,0.0,0.0,0.0
1984 - 59G4,0.0,0.0,0.0,0.0
1984 - 59G5,0.0,0.0,0.0,0.0
1984 - 59G6,0.0,0.0,0.0,0.0
1984 - 59G7,0.0,0.0,0.0,0.0
1984 - 59G8,0.0,0.0,0.0,0.0
1984 - 59G9,0.0,0.0,0.0,0.0
1984 - 59H0,0.0,0.0,0.0,0.0
1984 - 59H1,0.0,0.0,0.0,0.0
1984 - 59H2,0.0,0.0,0.0,0.0
1984 - 59H3,0.0,0.0,0.0,0.0
1984 - 59H4,0.0,0.0,0.0,0.0
1984 - 59H5,0.0,0.0,0.0,0.0
1984 - 59H6,0.0,0.0,0.0,0.0
1984 - 59H7,0.0,0.0,0.0,0.0
1984 - 59H8,0.0,0.0,0.0,0.0
1984 - 59H9,0.0,0.0,0.0,0.0
1984 - 59I0,0.0,0.0,0.0,0.0
1984 - 60F9,0.0,0.0,0.0,0.0
1984 - 60G0,0.0,0.0,0.0,0.0
1984 - 60G1,0.0,0.0,0.0,0.0
1984 - 60G2,0.0,0.0,0.0,0.0
1984 - 60G3,0.0,0.0,0.0,0.0
1984 - 60G4,0.0,0.0,0.0,0.0
1984 - 60G5,0.0,0.0,0.0,0.0
1984 - 60G6,0.0,0.0,0.0,0.0
1984 - 60G7,0.0,0.0,0.0,0.0
1984 - 60G8,0.0,0.0,0.0,0.0
1984 - 60G9,0.0,0.0,0.0,0.0
1984 - 60H0,0.0,0.0,0.0,0.0
1984 - 60H1,0.0,0.0,0.0,0.0
1984 - 60H2,0.0,0.0,0.0,0.0
1984 - 60H3,0.0,0.0,0.0,0.0
1984 - 60H4,0.0,0.0,0.0,0.0
1984 - 60H5,0.0,0.0,0.0,0.0
1984 - 60H6,0.0,0.0,0.0,0.0
1984 - 60H7,0.0,0.0,0.0,0.0
1984 - 60H8,0.0,0.0,0.0,0.0
1984 - 60H9,0.0,0.0,0.0,0.0
1984 - 60I0,0.0,0.0,0.0,0.0
1985 - 35F9,0.0,0.0,0.0,0.0
1985 - 35G0,0.0,0.0,0.0,0.0
1985 - 35G1,0.0,0.0,0.0,0.0
1985 - 35G2,0.0,0.0,0.0,0.0
1985 - 35G3,0.0,0.0,0.0,0.0
1985 - 35G4,0.0,0.0,0.0,0.0
1985 - 35G5,0.0,0.0,0.0,0.0
1985 - 35G6,0.0,0.0,0.0,0.0
1985 - 35G7,0.0,0.0,0.0,0.0
1985 - 35G8,0.0,0.0,0.0,0.0
1985 - 35G9,0.0,0.0,0.0,0.0
1985 - 35H0,0.0,0.0,0.0,0.0
1985 - 35H1,0.0,0.0,0.0,0.0
1985 - 35H2,0.0,0.0,0.0,0.0
1985 - 35H3,0.0,0.0,0.0,0.0
1985 - 35H4,0.0,0.0,0.0,0.0
1985 - 35H5,0.0,0.0,0.0,0.0
1985 - 35H6,0.0,0.0,0.0,0.0
1985 - 35H7,0.0,0.0,0.0,0.0
1985 - 35H8,0.0,0.0,0.0,0.0
1985 - 35H9,0.0,0.0,0.0,0.0
1985 - 35I0,0.0,0.0,0.0,0.0
1985 - 36F9,0.0,0.0,0.0,0.0
1985 - 36G0,0.0,0.0,0.0,0.0
1985 - 36G1,0.0,0.0,0.0,0.0
1985 - 36G2,0.0,0.0,0.0,0.0
1985 - 36G3,0.0,0.0,0.0,0.0
1985 - 36G4,0.0,0.0,0.0,0.0
1985 - 36G5,0.0,0.0,0.0,0.0
1985 - 36G6,0.0,0.0,0.0,0.0
1985 - 36G7,0.0,0.0,0.0,0.0
1985 - 36G8,0.0,0.0,0.0,0.0
1985 - 36G9,0.0,0.0,0.0,0.0
1985 - 36H0,0.0,0.0,0.0,0.0
1985 - 36H1,0.0,0.0,0.0,0.0
1985 - 36H2,0.0,0.0,0.0,0.0
1985 - 36H3,0.0,0.0,0.0,0.0
1985 - 36H4,0.0,0.0,0.0,0.0
1985 - 36H5,0.0,0.0,0.0,0.0
1985 - 36H6,0.0,0.0,0.0,0.0
1985 - 36H7,0.0,0.0,0.0,0.0
1985 - 36H8,0.0,0.0,0.0,0.0
1985 - 36H9,0.0,0.0,0.0,0.0
1985 - 36I0,0.0,0.0,0.0,0.0
1985 - 37F9,0.0,0.0,0.0,0.0
1985 - 37G0,0.0,0.0,0.0,0.0
1985 - 37G1,0.0,0.0,0.0,0.0
1985 - 37G2,0.0,0.0,0.0,0.0
1985 - 37G3,0.0,0.0,0.0,0.0
1985 - 37G4,0.0,0.0,0.0,0.0
1985 - 37G5,60.0,0.0,0.1,0.0
1985 - 37G6,0.0,0.0,0.0,0.0
1985 - 37G7,0.0,0.0,0.0,0.0
1985 - 37G8,0.0,0.0,0.0,0.0
1985 - 37G9,0.0,0.0,0.0,0.0
1985 - 37H0,0.0,0.0,0.0,0.0
1985 - 37H1,0.0,0.0,0.0,0.0
1985 - 37H2,0.0,0.0,0.0,0.0
1985 - 37H3,0.0,0.0,0.0,0.0
1985 - 37H4,0.0,0.0,0.0,0.0
1985 - 37H5,0.0,0.0,0.0,0.0
1985 - 37H6,0.0,0.0,0.0,0.0
1985 - 37H7,0.0,0.0,0.0,0.0
1985 - 37H8,0.0,0.0,0.0,0.0
1985 - 37H9,0.0,0.0,0.0,0.0
1985 - 37I0,0.0,0.0,0.0,0.0
1985 - 38F9,0.0,0.0,0.0,0.0
1985 - 38G0,0.0,0.0,0.0,0.0
1985 - 38G1,0.0,0.0,0.0,0.0
1985 - 38G2,0.0,0.0,0.0,0.0
1985 - 38G3,1104.59,225.42,7.63,0.39
1985 - 38G4,396.45,0.0,1.34,0.0
1985 - 38G5,2636.92,878.95,36.99,9.76
1985 - 38G6,173.97,173.97,3.02,2.12
1985 - 38G7,0.0,0.0,0.0,0.0
1985 - 38G8,677.64,39.54,15.42,0.03
1985 - 38G9,788.41,368.38,18.67,0.87
1985 - 38H0,0.0,0.0,0.0,0.0
1985 - 38H1,0.0,0.0,0.0,0.0
1985 - 38H2,0.0,0.0,0.0,0.0
1985 - 38H3,0.0,0.0,0.0,0.0
1985 - 38H4,0.0,0.0,0.0,0.0
1985 - 38H5,0.0,0.0,0.0,0.0
1985 - 38H6,0.0,0.0,0.0,0.0
1985 - 38H7,0.0,0.0,0.0,0.0
1985 - 38H8,0.0,0.0,0.0,0.0
1985 - 38H9,0.0,0.0,0.0,0.0
1985 - 38I0,0.0,0.0,0.0,0.0
1985 - 39F9,0.0,0.0,0.0,0.0
1985 - 39G0,0.0,0.0,0.0,0.0
1985 - 39G1,98.48,15.74,0.23,0.01
1985 - 39G2,0.0,0.0,0.0,0.0
1985 - 39G3,1333.53,621.59,6.32,1.72
1985 - 39G4,1553.91,0.0,11.87,0.0
1985 - 39G5,3161.86,2368.87,78.45,30.2
1985 - 39G6,2451.95,1052.43,39.37,12.45
1985 - 39G7,1421.29,0.0,19.24,0.0
1985 - 39G8,2422.11,35.21,46.87,0.03
1985 - 39G9,2729.46,11.84,32.86,0.01
1985 - 39H0,0.0,0.0,0.0,0.0
1985 - 39H1,0.0,0.0,0.0,0.0
1985 - 39H2,0.0,0.0,0.0,0.0
1985 - 39H3,0.0,0.0,0.0,0.0
1985 - 39H4,0.0,0.0,0.0,0.0
1985 - 39H5,0.0,0.0,0.0,0.0
1985 - 39H6,0.0,0.0,0.0,0.0
1985 - 39H7,0.0,0.0,0.0,0.0
1985 - 39H8,0.0,0.0,0.0,0.0
1985 - 39H9,0.0,0.0,0.0,0.0
1985 - 39I0,0.0,0.0,0.0,0.0
1985 - 40F9,0.0,0.0,0.0,0.0
1985 - 40G0,27.14,0.0,0.05,0.0
1985 - 40G1,0.0,0.0,0.0,0.0
1985 - 40G2,69.8,0.0,0.1,0.0
1985 - 40G3,0.0,0.0,0.0,0.0
1985 - 40G4,385.36,116.7,4.56,0.46
1985 - 40G5,1597.78,245.35,17.94,1.33
1985 - 40G6,1541.25,0.0,15.62,0.0
1985 - 40G7,338.34,0.0,1.74,0.0
1985 - 40G8,3081.54,0.0,81.13,0.0
1985 - 40G9,1645.62,0.0,20.53,0.0
1985 - 40H0,50.55,0.0,0.05,0.0
1985 - 40H1,0.0,0.0,0.0,0.0
1985 - 40H2,0.0,0.0,0.0,0.0
1985 - 40H3,0.0,0.0,0.0,0.0
1985 - 40H4,0.0,0.0,0.0,0.0
1985 - 40H5,0.0,0.0,0.0,0.0
1985 - 40H6,0.0,0.0,0.0,0.0
1985 - 40H7,0.0,0.0,0.0,0.0
1985 - 40H8,0.0,0.0,0.0,0.0
1985 - 40H9,0.0,0.0,0.0,0.0
1985 - 40I0,0.0,0.0,0.0,0.0
1985 - 41F9,0.0,0.0,0.0,0.0
1985 - 41G0,195.13,0.0,0.4,0.0
1985 - 41G1,892.11,0.0,2.37,0.0
1985 - 41G2,80.15,0.0,0.06,0.0
1985 - 41G3,0.0,0.0,0.0,0.0
1985 - 41G4,0.0,0.0,0.0,0.0
1985 - 41G5,0.0,0.0,0.0,0.0
1985 - 41G6,11.4,0.0,0.07,0.0
1985 - 41G7,0.0,0.0,0.0,0.0
1985 - 41G8,1853.11,57.06,52.0,0.22
1985 - 41G9,2441.28,613.02,100.16,4.23
1985 - 41H0,98.89,0.0,0.66,0.0
1985 - 41H1,0.0,0.0,0.0,0.0
1985 - 41H2,0.0,0.0,0.0,0.0
1985 - 41H3,0.0,0.0,0.0,0.0
1985 - 41H4,0.0,0.0,0.0,0.0
1985 - 41H5,0.0,0.0,0.0,0.0
1985 - 41H6,0.0,0.0,0.0,0.0
1985 - 41H7,0.0,0.0,0.0,0.0
1985 - 41H8,0.0,0.0,0.0,0.0
1985 - 41H9,0.0,0.0,0.0,0.0
1985 - 41I0,0.0,0.0,0.0,0.0
1985 - 42F9,0.0,0.0,0.0,0.0
1985 - 42G0,0.0,0.0,0.0,0.0
1985 - 42G1,0.0,0.0,0.0,0.0
1985 - 42G2,0.0,0.0,0.0,0.0
1985 - 42G3,0.0,0.0,0.0,0.0
1985 - 42G4,0.0,0.0,0.0,0.0
1985 - 42G5,0.0,0.0,0.0,0.0
1985 - 42G6,159.24,68.29,1.48,0.23
1985 - 42G7,2205.71,1239.5,40.46,11.48
1985 - 42G8,686.93,290.78,24.8,2.95
1985 - 42G9,3397.22,3125.24,246.7,79.86
1985 - 42H0,1260.47,689.91,56.77,13.29
1985 - 42H1,0.0,0.0,0.0,0.0
1985 - 42H2,0.0,0.0,0.0,0.0
1985 - 42H3,0.0,0.0,0.0,0.0
1985 - 42H4,0.0,0.0,0.0,0.0
1985 - 42H5,0.0,0.0,0.0,0.0
1985 - 42H6,0.0,0.0,0.0,0.0
1985 - 42H7,0.0,0.0,0.0,0.0
1985 - 42H8,0.0,0.0,0.0,0.0
1985 - 42H9,0.0,0.0,0.0,0.0
1985 - 42I0,0.0,0.0,0.0,0.0
1985 - 43F9,0.0,0.0,0.0,0.0
1985 - 43G0,0.0,0.0,0.0,0.0
1985 - 43G1,0.0,0.0,0.0,0.0
1985 - 43G2,0.0,0.0,0.0,0.0
1985 - 43G3,0.0,0.0,0.0,0.0
1985 - 43G4,0.0,0.0,0.0,0.0
1985 - 43G5,0.0,0.0,0.0,0.0
1985 - 43G6,0.0,0.0,0.0,0.0
1985 - 43G7,1948.5,1326.36,51.67,21.56
1985 - 43G8,115.94,7.45,2.35,0.05
1985 - 43G9,2917.89,2051.84,213.06,77.4
1985 - 43H0,2062.82,1458.88,178.12,87.54
1985 - 43H1,0.0,0.0,0.0,0.0
1985 - 43H2,0.0,0.0,0.0,0.0
1985 - 43H3,0.0,0.0,0.0,0.0
1985 - 43H4,0.0,0.0,0.0,0.0
1985 - 43H5,0.0,0.0,0.0,0.0
1985 - 43H6,0.0,0.0,0.0,0.0
1985 - 43H7,0.0,0.0,0.0,0.0
1985 - 43H8,0.0,0.0,0.0,0.0
1985 - 43H9,0.0,0.0,0.0,0.0
1985 - 43I0,0.0,0.0,0.0,0.0
1985 - 44F9,0.0,0.0,0.0,0.0
1985 - 44G0,0.0,0.0,0.0,0.0
1985 - 44G1,0.0,0.0,0.0,0.0
1985 - 44G2,0.0,0.0,0.0,0.0
1985 - 44G3,0.0,0.0,0.0,0.0
1985 - 44G4,0.0,0.0,0.0,0.0
1985 - 44G5,0.0,0.0,0.0,0.0
1985 - 44G6,0.0,0.0,0.0,0.0
1985 - 44G7,2909.7,2402.8,135.86,67.82
1985 - 44G8,1344.94,1037.62,42.09,14.2
1985 - 44G9,1830.43,825.89,74.51,17.94
1985 - 44H0,2669.94,1202.41,113.37,19.5
1985 - 44H1,51.15,0.0,0.14,0.0
1985 - 44H2,0.0,0.0,0.0,0.0
1985 - 44H3,0.0,0.0,0.0,0.0
1985 - 44H4,0.0,0.0,0.0,0.0
1985 - 44H5,0.0,0.0,0.0,0.0
1985 - 44H6,0.0,0.0,0.0,0.0
1985 - 44H7,0.0,0.0,0.0,0.0
1985 - 44H8,0.0,0.0,0.0,0.0
1985 - 44H9,0.0,0.0,0.0,0.0
1985 - 44I0,0.0,0.0,0.0,0.0
